Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"1044053","13:24:29.31"
"0051" TT,"5372",""
"0052" TT,"1386",""
"0053" TT,"2600",""
"0054" TT,"1567",""
"0055" TT,"48530",""
"0056" TT,"280209",""
"0057" TT,"2120",""
"0058" TT,"586",""
"0059" TT,"260",""
"0061" TT,"1316066","13:29:24.73"
"006201" TT,"9189",""
"006203" TT,"393",""
"006204" TT,"1093",""
"006205" TT,"1697736",""
"006206" TT,"467407",""
"006207" TT,"641766",""
"006208" TT,"480",""
"00631L" TT,"1329641",""
"00632R" TT,"14783102","08:42:22.02"
"00633L" TT,"16010931","12:06:29.66"
"00634R" TT,"1186588",""
"00635U" TT,"98652",""
"00636" TT,"338793",""
"00637L" TT,"24986571","16:56:10.00"
"00638R" TT,"362694",""
"00639" TT,"912727",""
"00640L" TT,"3159058","09:04:17.68"
"00641R" TT,"740340",""
"00642U" TT,"5597497",""
"00643" TT,"395346",""
"00645" TT,"237575",""
"00646" TT,"116522",""
"00647L" TT,"69900",""
"00648R" TT,"667730",""
"00649" TT,"149866",""
"00650L" TT,"200486",""
"00651R" TT,"119046",""
"00652" TT,"651605",""
"00653L" TT,"635262",""
"00654R" TT,"605381",""
"00655L" TT,"1839714",""
"00656R" TT,"414771",""
"008201" TT,"2616",""
"1101" TT,"111644","13:29:56.42"
"1102" TT,"397042","13:29:43.16"
"1103" TT,"11321","13:26:00.16"
"1104" TT,"56142","11:17:58.77"
"1108" TT,"83324","13:24:59.30"
"1109" TT,"6877",""
"1110" TT,"7938",""
"1201" TT,"205320","13:23:55.38"
"1203" TT,"2542","13:27:36.26"
"1210" TT,"254599","13:24:17.84"
"1213" TT,"17540",""
"1215" TT,"490315","13:24:59.99"
"1216" TT,"1686602","13:29:34.94"
"1217" TT,"209807",""
"1218" TT,"169359","13:25:04.26"
"1219" TT,"8736","13:24:54.29"
"1220" TT,"9858","09:09:40.08"
"1225" TT,"410","10:16:31.81"
"1227" TT,"219178","13:26:30.61"
"1229" TT,"113793","09:52:48.13"
"1231" TT,"15439",""
"1232" TT,"22101","09:18:27.65"
"1233" TT,"4829","09:09:39.95"
"1234" TT,"406","12:37:55.39"
"1235" TT,"20881",""
"1236" TT,"2639",""
"1258" TT,"45586",""
"1259" TT,"3577",""
"1262" TT,"179971","13:24:50.08"
"1264" TT,"11750",""
"1301" TT,"997356","13:29:56.42"
"1303" TT,"762573","13:29:56.43"
"1304" TT,"319553","13:25:05.36"
"1305" TT,"653676","13:24:59.31"
"1307" TT,"83717","13:25:00.02"
"1308" TT,"52880","13:28:59.12"
"1309" TT,"13050","13:25:00.03"
"1310" TT,"1368711","09:20:14.42"
"1312" TT,"523976","13:28:58.06"
"1313" TT,"930","10:09:46.70"
"1314" TT,"112","13:23:33.06"
"1315" TT,"40788","13:25:05.40"
"1316" TT,"77119",""
"1319" TT,"1016959","13:27:48.62"
"1321" TT,"352","09:41:58.75"
"1323" TT,"246046","13:24:54.28"
"1324" TT,"5656",""
"1325" TT,"13387",""
"1326" TT,"891877","13:29:56.43"
"1333" TT,"25856",""
"1336" TT,"8628",""
"1337" TT,"526135","13:25:00.05"
"1338" TT,"165013","13:24:05.76"
"1339" TT,"60307","13:25:05.05"
"1340" TT,"126378","13:24:58.55"
"1402" TT,"687191","13:25:05.24"
"1409" TT,"660","12:51:45.47"
"1410" TT,"6517",""
"1413" TT,"12747",""
"1414" TT,"49442",""
"1416" TT,"40886","13:25:17.26"
"1417" TT,"125921","11:17:58.87"
"1418" TT,"11633",""
"1419" TT,"487","12:29:32.90"
"1423" TT,"12253","11:21:55.62"
"1432" TT,"127117",""
"1434" TT,"201338","13:24:54.28"
"1435" TT,"6972",""
"1436" TT,"4814","11:21:55.62"
"1437" TT,"23534",""
"1438" TT,"3248",""
"1439" TT,"27264",""
"1440" TT,"31150","13:32:27.04"
"1441" TT,"10416",""
"1442" TT,"25914",""
"1443" TT,"2877",""
"1444" TT,"154946","13:25:04.89"
"1445" TT,"50745","13:25:00.08"
"1446" TT,"13695",""
"1447" TT,"73855","13:25:00.08"
"1449" TT,"9945",""
"1451" TT,"49412",""
"1452" TT,"244571","13:28:58.43"
"1453" TT,"15048",""
"1454" TT,"27284","13:24:59.36"
"1455" TT,"497769","12:36:27.81"
"1456" TT,"2778",""
"1457" TT,"382191","13:24:59.36"
"1459" TT,"76408","13:24:59.36"
