Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"1053279","13:24:30.96"
"0051" TT,"5519",""
"0052" TT,"1326",""
"0053" TT,"2734",""
"0054" TT,"1634",""
"0055" TT,"49303",""
"0056" TT,"276318",""
"0057" TT,"2113",""
"0058" TT,"593",""
"0059" TT,"267",""
"0061" TT,"1583568",""
"006201" TT,"9143",""
"006203" TT,"633",""
"006204" TT,"1106",""
"006205" TT,"1813154",""
"006206" TT,"500003",""
"006207" TT,"694913",""
"006208" TT,"466",""
"00631L" TT,"1263635",""
"00632R" TT,"14423291","09:00:06.84"
"00633L" TT,"18407210",""
"00634R" TT,"1196439",""
"00635U" TT,"105967",""
"00636" TT,"348507",""
"00637L" TT,"25473110","08:39:33.66"
"00638R" TT,"368154",""
"00639" TT,"925746",""
"00640L" TT,"3024318",""
"00641R" TT,"640494",""
"00642U" TT,"5819572",""
"00643" TT,"394319",""
"00645" TT,"231128",""
"00646" TT,"110020",""
"00647L" TT,"78980",""
"00648R" TT,"636103",""
"00649" TT,"155146",""
"00650L" TT,"196980",""
"00651R" TT,"105966",""
"00652" TT,"664285",""
"00653L" TT,"640925",""
"00654R" TT,"627460",""
"00655L" TT,"1844629",""
"00656R" TT,"421385",""
"008201" TT,"2828",""
"1101" TT,"188453","13:29:39.07"
"1102" TT,"422150","13:25:52.43"
"1103" TT,"4553","13:30:30.05"
"1104" TT,"49780","13:23:55.05"
"1108" TT,"235","12:07:31.47"
"1109" TT,"8033",""
"1110" TT,"8005",""
"1201" TT,"259563","13:24:36.31"
"1203" TT,"14895","13:26:00.09"
"1210" TT,"314990","13:24:56.68"
"1213" TT,"17826",""
"1215" TT,"534700","13:24:59.30"
"1216" TT,"717265","13:27:30.74"
"1217" TT,"215422","13:25:04.82"
"1218" TT,"185611","13:25:03.36"
"1219" TT,"10404",""
"1220" TT,"13098","11:55:08.68"
"1225" TT,"18988",""
"1227" TT,"163413","13:26:50.64"
"1229" TT,"132761",""
"1231" TT,"17863",""
"1232" TT,"23547",""
"1233" TT,"6706","11:55:08.68"
"1234" TT,"297","12:01:08.67"
"1235" TT,"23708",""
"1236" TT,"2476",""
"1258" TT,"57123",""
"1259" TT,"1550",""
"1262" TT,"178135","13:24:45.11"
"1264" TT,"12369",""
"1301" TT,"1100359","13:24:59.31"
"1303" TT,"866039","13:29:40.95"
"1304" TT,"274942","13:25:01.57"
"1305" TT,"664781","13:25:01.57"
"1307" TT,"78780","13:25:01.58"
"1308" TT,"58862","13:25:01.58"
"1309" TT,"53244","13:25:01.59"
"1310" TT,"1436256",""
"1312" TT,"1026918","13:25:01.59"
"1313" TT,"131529","13:25:01.59"
"1314" TT,"775","13:28:53.52"
"1315" TT,"49730","13:30:40.80"
"1316" TT,"87718",""
"1319" TT,"1057339","13:25:01.59"
"1321" TT,"1333","13:25:03.46"
"1323" TT,"274834","13:24:55.62"
"1324" TT,"6033",""
"1325" TT,"14487",""
"1326" TT,"983492","13:28:17.71"
"1333" TT,"26583",""
"1336" TT,"8542",""
"1337" TT,"310055","13:24:59.35"
"1338" TT,"169938","13:24:22.07"
"1339" TT,"61701","13:28:03.06"
"1340" TT,"116686","13:28:59.42"
"1402" TT,"1125236","13:25:05.65"
"1409" TT,"94906","13:25:01.61"
"1410" TT,"6641",""
"1413" TT,"12902",""
"1414" TT,"50230",""
"1416" TT,"67425","13:25:19.00"
"1417" TT,"130400","12:50:00.47"
"1418" TT,"11720",""
"1419" TT,"8229",""
"1423" TT,"15486",""
"1432" TT,"132707",""
"1434" TT,"208425","13:24:48.57"
"1435" TT,"6973",""
"1436" TT,"4617",""
"1437" TT,"23976","10:03:13.39"
"1438" TT,"3314",""
"1439" TT,"27375",""
"1440" TT,"92972","13:23:47.72"
"1441" TT,"11064",""
