Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"3055081",""
"0051" TT,"6273",""
"0052" TT,"1386",""
"0053" TT,"2813",""
"0054" TT,"1827",""
"0055" TT,"74681",""
"0056" TT,"312954",""
"0057" TT,"2106",""
"0058" TT,"726",""
"0059" TT,"513",""
"0061" TT,"1293914","13:28:59.38"
"006201" TT,"6919",""
"006203" TT,"733",""
"006204" TT,"1306",""
"006205" TT,"1959847",""
"006206" TT,"570587",""
"006207" TT,"702884",""
"006208" TT,"406",""
"00631L" TT,"1215480",""
"00632R" TT,"15646111",""
"00633L" TT,"20470088",""
"00634R" TT,"1354023",""
"00635U" TT,"159330",""
"00636" TT,"406853",""
"00637L" TT,"28341358",""
"00638R" TT,"374648",""
"00639" TT,"1020024",""
"00640L" TT,"2839420",""
"00641R" TT,"502560",""
"00642U" TT,"6171455",""
"00643" TT,"398897",""
"00645" TT,"226600",""
"00646" TT,"107240",""
"00647L" TT,"106553",""
"00648R" TT,"523056",""
"00649" TT,"241806",""
"00650L" TT,"209886",""
"00651R" TT,"124413",""
"00652" TT,"793726",""
"00653L" TT,"754641",""
"00654R" TT,"811350",""
"00655L" TT,"1881136",""
"00656R" TT,"527778",""
"008201" TT,"3193",""
"1101" TT,"442246","13:29:59.70"
"1102" TT,"68020","13:29:59.62"
"1103" TT,"35185","13:24:05.12"
"1104" TT,"45758","13:23:53.74"
"1108" TT,"84325","11:49:44.58"
"1109" TT,"11112",""
"1110" TT,"7769",""
"1201" TT,"323751","13:25:05.68"
"1203" TT,"16605",""
"1210" TT,"365989","13:28:45.31"
"1213" TT,"18779",""
"1215" TT,"416487","09:46:16.59"
"1216" TT,"420815","13:30:00.14"
"1217" TT,"257824","13:25:00.34"
"1218" TT,"392523",""
"1219" TT,"14068",""
"1220" TT,"13794","10:51:16.68"
"1225" TT,"30203","13:25:00.35"
"1227" TT,"270209","13:25:05.87"
"1229" TT,"139042",""
"1231" TT,"24459",""
"1232" TT,"24989",""
"1233" TT,"7388","11:49:44.58"
"1234" TT,"15537",""
"1235" TT,"40072",""
"1236" TT,"2457",""
"1258" TT,"78666",""
"1259" TT,"2423",""
"1262" TT,"142788",""
"1264" TT,"18705",""
"1301" TT,"1292687","13:25:00.35"
"1303" TT,"946110","13:28:31.02"
"1304" TT,"384714","13:25:05.40"
"1305" TT,"665712","13:24:31.16"
"1307" TT,"97830",""
"1308" TT,"123140","13:25:06.35"
"1309" TT,"106834","10:51:16.65"
"1310" TT,"1570561","13:25:04.47"
"1312" TT,"1332151","13:24:32.48"
"1313" TT,"222037","13:25:00.37"
"1314" TT,"1256676","13:28:40.42"
"1315" TT,"51505",""
"1316" TT,"86380",""
"1319" TT,"1161410","13:24:20.08"
"1321" TT,"11256","13:23:53.66"
"1323" TT,"177928","13:22:39.02"
"1324" TT,"9568",""
"1325" TT,"20260","13:24:59.30"
"1326" TT,"1181081","13:25:00.37"
"1333" TT,"38398",""
"1336" TT,"8308",""
"1337" TT,"797796","13:24:24.64"
"1338" TT,"185802","13:24:18.48"
"1339" TT,"134847",""
"1340" TT,"104707",""
"1402" TT,"1321847","13:25:05.49"
"1409" TT,"146539","13:25:06.29"
"1410" TT,"5344",""
"1413" TT,"14106",""
"1414" TT,"57622",""
"1416" TT,"84793","09:01:12.11"
"1417" TT,"175673","11:35:36.88"
"1418" TT,"7189",""
"1419" TT,"6294",""
"1423" TT,"20312",""
"1432" TT,"164691","11:05:22.29"
"1434" TT,"169500","13:28:00.27"
"1435" TT,"8753",""
"1436" TT,"2594",""
"1437" TT,"40824",""
"1438" TT,"3423",""
"1439" TT,"27575",""
"1440" TT,"127166","13:23:47.32"
"1441" TT,"16363",""
"1442" TT,"32337",""
"1443" TT,"3478",""
"1444" TT,"358950","13:24:59.32"
"1445" TT,"65230",""
"1446" TT,"14558",""
"1447" TT,"174406","13:24:59.33"
"1449" TT,"8067",""
"1451" TT,"50892","10:12:14.17"
"1452" TT,"338900","13:28:50.88"
"1453" TT,"14201",""
"1454" TT,"46727",""
"1455" TT,"631348","13:24:58.82"
"1456" TT,"1844",""
"1457" TT,"609899",""
"1459" TT,"143194",""
"1460" TT,"286419","13:24:59.33"
"1463" TT,"111010","13:25:05.73"
"1464" TT,"543846",""
"1465" TT,"8786",""
"1466" TT,"21638",""
"1467" TT,"107824",""
"1468" TT,"5071",""
"1470" TT,"2147",""
"1471" TT,"111164",""
"1472" TT,"9928",""
"1473" TT,"374774","13:24:55.91"
"1474" TT,"76075",""
"1475" TT,"12140",""
"1476" TT,"44218","13:25:08.67"
"1477" TT,"356365",""
"1503" TT,"12532",""
"1504" TT,"601053","13:24:59.85"
"1506" TT,"74350","10:51:16.62"
"1507" TT,"124686","13:25:20.15"
"1512" TT,"127710",""
"1513" TT,"221667","13:25:05.62"
"1514" TT,"87720",""
"1515" TT,"51978","13:24:59.35"
"1516" TT,"49707",""
"1517" TT,"49408",""
"1519" TT,"117128","13:00:14.75"
"1521" TT,"47876","10:51:16.46"
"1522" TT,"395108","10:08:01.93"
"1524" TT,"247400",""
"1525" TT,"118242",""
"1526" TT,"35892",""
"1527" TT,"384581","13:24:45.73"
"1528" TT,"225902",""
"1529" TT,"10046",""
"1530" TT,"10552",""
"1531" TT,"42757",""
"1532" TT,"434714","13:25:05.84"
"1533" TT,"555478","13:24:54.42"
"1535" TT,"11900",""
"1536" TT,"907793","12:58:24.73"
"1537" TT,"71847",""
