Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"2852034","11:58:42.34"
"0051" TT,"6246",""
"0052" TT,"1360",""
"0053" TT,"2813",""
"0054" TT,"1820",""
"0055" TT,"67927",""
"0056" TT,"297970",""
"0057" TT,"1033",""
"0058" TT,"693",""
"0059" TT,"460",""
"0061" TT,"1520114","13:29:59.80"
"006201" TT,"9036",""
"006203" TT,"780",""
"006204" TT,"1279",""
"006205" TT,"1959171",""
"006206" TT,"561628",""
"006207" TT,"715558",""
"006208" TT,"380",""
"00631L" TT,"1167605",""
"00632R" TT,"15279129",""
"00633L" TT,"20161517",""
"00634R" TT,"1328809",""
"00635U" TT,"156655",""
"00636" TT,"390067",""
"00637L" TT,"25714970","13:29:45.12"
"00638R" TT,"378241",""
"00639" TT,"872265","13:22:14.48"
"00640L" TT,"2933980",""
"00641R" TT,"528287",""
"00642U" TT,"6367211",""
"00643" TT,"400050",""
"00645" TT,"225313",""
"00646" TT,"100767",""
"00647L" TT,"99693",""
"00648R" TT,"519758",""
"00649" TT,"224380",""
"00650L" TT,"210633",""
"00651R" TT,"120973",""
"00652" TT,"798500",""
"00653L" TT,"729977",""
"00654R" TT,"793892",""
"00655L" TT,"1871260",""
"00656R" TT,"505090",""
"008201" TT,"3136",""
"1101" TT,"738843","13:29:58.93"
"1102" TT,"268564","13:28:50.80"
"1103" TT,"40892","13:24:00.07"
"1104" TT,"58242",""
"1108" TT,"89176",""
"1109" TT,"10863",""
"1110" TT,"7856",""
"1201" TT,"276349","13:25:05.09"
"1203" TT,"16801",""
"1210" TT,"366597",""
"1213" TT,"18698",""
"1215" TT,"375581","13:24:41.73"
"1216" TT,"184796","13:29:58.99"
"1217" TT,"280779","13:25:04.16"
"1218" TT,"384897",""
"1219" TT,"13495",""
"1220" TT,"15321",""
"1225" TT,"28248",""
"1227" TT,"282118","13:24:59.81"
"1229" TT,"139790",""
"1231" TT,"23894",""
"1232" TT,"24950",""
"1233" TT,"8364",""
"1234" TT,"15510",""
"1235" TT,"38236",""
"1236" TT,"2427",""
"1258" TT,"77640",""
"1259" TT,"2349",""
"1262" TT,"158081",""
"1264" TT,"17426",""
"1301" TT,"1158122","13:29:05.15"
"1303" TT,"918641","13:28:00.82"
"1304" TT,"387203","13:24:59.30"
"1305" TT,"675091","13:24:24.82"
"1307" TT,"98704",""
"1308" TT,"76238","13:28:00.25"
"1309" TT,"108106",""
"1310" TT,"1547799","13:25:05.06"
"1312" TT,"1298338","13:24:35.93"
"1313" TT,"198245","13:24:59.84"
"1314" TT,"278905","13:28:55.32"
"1315" TT,"51379",""
"1316" TT,"86523",""
"1319" TT,"1171147","13:24:30.56"
"1321" TT,"11903","13:23:54.27"
"1323" TT,"201989",""
"1324" TT,"9240",""
"1325" TT,"20223",""
"1326" TT,"1188817","13:24:59.85"
"1333" TT,"38258",""
"1336" TT,"8525",""
"1337" TT,"798940","13:24:35.28"
"1338" TT,"160497","13:24:55.82"
"1339" TT,"132110",""
"1340" TT,"102004",""
"1402" TT,"885485","13:25:05.48"
"1409" TT,"148558","13:24:59.32"
"1410" TT,"5293",""
"1413" TT,"13819",""
"1414" TT,"58505",""
"1416" TT,"93702",""
"1417" TT,"181098",""
"1418" TT,"7436",""
"1419" TT,"6373",""
"1423" TT,"18374",""
"1432" TT,"167789",""
"1434" TT,"136060","13:24:41.35"
"1435" TT,"8074",""
"1436" TT,"2707",""
"1437" TT,"39972",""
"1438" TT,"3323",""
"1439" TT,"27335",""
"1440" TT,"122203","13:23:45.93"
"1441" TT,"15076",""
"1442" TT,"17811","13:23:51.54"
"1443" TT,"3283",""
"1444" TT,"343075","13:24:59.32"
"1445" TT,"63764",""
"1446" TT,"14117",""
"1447" TT,"132390","13:28:47.85"
"1449" TT,"7526",""
"1451" TT,"51729",""
"1452" TT,"301229","13:29:06.60"
"1453" TT,"14515",""
"1454" TT,"45568",""
"1455" TT,"656542","13:24:38.52"
"1456" TT,"1963",""
"1457" TT,"591149",""
"1459" TT,"135583",""
"1460" TT,"289971","13:24:59.33"
"1463" TT,"101866","13:25:05.19"
"1464" TT,"538145","13:24:58.87"
"1465" TT,"8594",""
"1466" TT,"21772",""
"1467" TT,"106503",""
"1468" TT,"5071",""
"1470" TT,"2153",""
"1471" TT,"96834",""
"1472" TT,"9835",""
"1473" TT,"255987","13:25:11.41"
"1474" TT,"72833",""
"1475" TT,"13127",""
"1476" TT,"209991","13:27:53.88"
"1477" TT,"77643","13:24:28.66"
"1503" TT,"12363",""
"1504" TT,"571100","13:25:00.50"
"1506" TT,"76488",""
"1507" TT,"130582","13:25:05.12"
"1512" TT,"118755",""
"1513" TT,"230417","13:25:06.24"
"1514" TT,"88831",""
"1515" TT,"49838","13:24:59.34"
"1516" TT,"49726",""
"1517" TT,"49572",""
"1519" TT,"136546",""
"1521" TT,"47209",""
"1522" TT,"356643","13:24:57.34"
"1524" TT,"255480",""
"1525" TT,"118202",""
"1526" TT,"35974",""
"1527" TT,"381522","13:24:12.84"
"1528" TT,"232221",""
"1529" TT,"7459",""
"1530" TT,"10724",""
"1531" TT,"36749","12:12:07.61"
"1532" TT,"428262","13:28:45.72"
"1533" TT,"568880","13:24:44.78"
"1535" TT,"11844",""
"1536" TT,"698734","13:25:05.25"
"1537" TT,"70226","11:28:39.38"
"1538" TT,"55367",""
"1539" TT,"167075",""
"1540" TT,"45237",""
"1541" TT,"178223",""
"1558" TT,"29262",""
"1560" TT,"41687",""
"1565" TT,"62149",""
"1566" TT,"200875",""
"1568" TT,"551068","13:24:51.62"
"1569" TT,"23244",""
"1570" TT,"61905",""
"1580" TT,"115596","13:28:40.94"
"1582" TT,"139378","13:25:02.95"
"1583" TT,"6440",""
"1584" TT,"327063",""
"1586" TT,"93931",""
"1589" TT,"142770","13:27:05.86"
"1590" TT,"193534",""
"1592" TT,"128305",""
"1593" TT,"7748",""
"1595" TT,"8076",""
"1597" TT,"101733",""
"1599" TT,"330577",""
"1603" TT,"49487",""
"1604" TT,"181441",""
"1605" TT,"1451077","13:24:59.35"
"1608" TT,"70703",""
"1609" TT,"77510",""
"1611" TT,"488053",""
"1612" TT,"25524",""
"1613" TT,"25713",""
"1614" TT,"25976",""
"1615" TT,"6874",""
"1616" TT,"42138",""
"1617" TT,"6079",""
"1618" TT,"125648",""
"1626" TT,"8901",""
"1701" TT,"92723",""
"1702" TT,"148293",""
"1704" TT,"1444741","13:24:48.24"
"1707" TT,"78427","13:28:10.83"
"1708" TT,"148974","13:23:59.00"
"1709" TT,"253788",""
"1710" TT,"194954","13:25:05.31"
"1711" TT,"150752","13:23:57.43"
"1712" TT,"140767","13:24:59.35"
"1713" TT,"12784",""
"1714" TT,"324793","11:47:18.00"
"1715" TT,"152961",""
"1717" TT,"102302","13:25:05.86"
"1718" TT,"585089","13:26:00.14"
"1720" TT,"118237",""
"1721" TT,"121675",""
"1722" TT,"251139","13:28:41.06"
"1723" TT,"13530","13:29:02.25"
"1724" TT,"41939",""
"1725" TT,"4699",""
"1726" TT,"15583",""
"1727" TT,"10398",""
"1729" TT,"49428","13:24:59.36"
"1730" TT,"46406",""
"1731" TT,"398625",""
"1732" TT,"59868",""
"1733" TT,"40409",""
"1734" TT,"152800","13:28:50.01"
"1735" TT,"124667",""
"1736" TT,"54233",""
"1737" TT,"124417","10:29:17.50"
"1742" TT,"102166",""
"1752" TT,"130833","13:24:51.63"
"1762" TT,"64432","09:01:11.33"
"1773" TT,"16442",""
"1777" TT,"58841",""
"1781" TT,"21210",""
"1783" TT,"69359",""
"1784" TT,"44358",""
"1785" TT,"348617","13:28:55.78"
"1786" TT,"95334",""
"1787" TT,"44497",""
"1788" TT,"7273","11:19:29.98"
"1789" TT,"88585","13:25:26.71"
"1795" TT,"179244",""
"1799" TT,"34990",""
"1802" TT,"729514","13:25:08.52"
"1805" TT,"26090",""
"1806" TT,"59684",""
"1808" TT,"150814","13:29:56.15"
"1809" TT,"61893",""
"1810" TT,"168603",""
"1813" TT,"17534",""
"1815" TT,"512007",""
"1817" TT,"51030",""
"1902" TT,"88967",""
"1903" TT,"999","14:02:35.76"
"1904" TT,"102103","11:02:03.59"
"1905" TT,"162261","13:28:53.07"
"1906" TT,"138634",""
"1907" TT,"152243",""
"1909" TT,"350917","13:24:59.38"
"2002" TT,"5937203","13:25:00.30"
"2006" TT,"262293","13:24:59.88"
"2007" TT,"46861",""
"2008" TT,"26531",""
"2009" TT,"109409",""
"2010" TT,"139907","13:25:06.09"
"2012" TT,"14133",""
"2013" TT,"111162",""
"2014" TT,"2051414",""
"2015" TT,"123450",""
"2017" TT,"169842",""
"2020" TT,"97043",""
"2022" TT,"126649",""
"2023" TT,"434322","13:25:04.50"
"2024" TT,"24754",""
"2025" TT,"71822",""
"2027" TT,"198242","13:23:31.32"
"2028" TT,"23926",""
"2029" TT,"54164",""
"2030" TT,"112285",""
"2031" TT,"135377",""
"2032" TT,"136212",""
"2033" TT,"11808",""
"2034" TT,"334925","09:05:08.87"
"2035" TT,"1325",""
"2038" TT,"35182",""
"2049" TT,"523305","13:25:11.53"
"2059" TT,"59955","13:27:50.79"
"2061" TT,"15836",""
"2062" TT,"166572","13:24:59.39"
"2063" TT,"4772",""
"2064" TT,"13795",""
"2066" TT,"46468",""
"2101" TT,"965","13:25:03.19"
"2102" TT,"115393","13:24:59.39"
"2103" TT,"858357","13:28:20.79"
"2104" TT,"148259",""
"2105" TT,"1026103","13:25:04.97"
"2106" TT,"168242","13:29:36.59"
"2107" TT,"221439","13:25:03.98"
"2108" TT,"435404","13:24:48.27"
"2109" TT,"99698",""
"2114" TT,"13657",""
"2115" TT,"109127",""
"2201" TT,"258093","13:24:55.87"
"2204" TT,"365653","13:25:31.18"
"2206" TT,"295766","13:25:04.65"
"2207" TT,"314","13:26:38.27"
"2208" TT,"210899","13:24:59.40"
"2221" TT,"34121",""
"2227" TT,"20914","13:27:30.12"
"2228" TT,"171492",""
"2230" TT,"57414",""
"2231" TT,"92095","13:28:40.18"
"2233" TT,"228343","13:24:45.99"
"2235" TT,"12943",""
"2301" TT,"1068939","13:24:32.53"
"2302" TT,"66134",""
"2303" TT,"808","13:26:20.00"
"2305" TT,"213858",""
"2308" TT,"729007","13:25:30.60"
"2311" TT,"407698","13:28:58.99"
"2312" TT,"1102564","13:25:04.10"
"2313" TT,"950","13:24:57.47"
"2314" TT,"352745",""
"2316" TT,"1239822","13:27:21.28"
"2317" TT,"4136765","13:28:31.10"
"2321" TT,"9174",""
"2323" TT,"693253","13:25:05.61"
"2324" TT,"1404574","13:32:59.64"
"2325" TT,"2851969","13:28:11.23"
"2327" TT,"173681","13:29:56.16"
"2328" TT,"211601","13:24:59.52"
"2329" TT,"625953","13:29:01.76"
"2330" TT,"5256058","13:30:00.15"
"2331" TT,"395558",""
"2332" TT,"430284","13:23:47.96"
"2337" TT,"554891","13:23:59.93"
"2338" TT,"73939",""
"2340" TT,"481372","13:25:04.34"
"2342" TT,"44171",""
"2344" TT,"1874726","13:29:56.16"
"2345" TT,"1731492","13:29:55.20"
"2347" TT,"430683","13:30:09.10"
"2348" TT,"3",""
"2349" TT,"1795020","13:23:40.60"
"2351" TT,"332440",""
"2352" TT,"599383","13:24:59.53"
"2353" TT,"1705890","13:25:38.31"
"2354" TT,"1226910","13:24:59.29"
"2355" TT,"467377","13:24:29.83"
"2356" TT,"3336055","13:29:50.48"
"2357" TT,"305","13:28:31.54"
"2358" TT,"65878",""
"2359" TT,"238291","13:24:59.54"
"2360" TT,"104344","13:24:10.80"
"2362" TT,"187046","13:29:12.58"
"2363" TT,"363901",""
"2364" TT,"36708",""
"2365" TT,"88393",""
"2367" TT,"328247",""
"2368" TT,"329674","13:24:59.55"
"2369" TT,"201078","13:24:59.54"
"2371" TT,"730488","13:29:54.86"
"2373" TT,"10208","13:25:05.41"
"2374" TT,"70677","13:08:30.81"
"2375" TT,"48770",""
"2376" TT,"242700","13:24:59.55"
"2377" TT,"1204819","12:47:32.65"
"2379" TT,"580460","13:24:59.49"
"2380" TT,"41042","13:24:59.55"
"2382" TT,"525732","13:29:59.96"
"2383" TT,"704022","13:24:29.91"
"2385" TT,"198300","13:28:11.48"
"2387" TT,"364677","13:24:52.19"
"2388" TT,"348660",""
"2390" TT,"352061",""
"2392" TT,"558","13:25:31.26"
"2393" TT,"550530","13:24:37.92"
"2395" TT,"135739","13:25:00.54"
"2397" TT,"107014","13:28:59.87"
"2399" TT,"29802","13:24:59.57"
"2401" TT,"1004976","13:24:52.22"
"2402" TT,"390","13:25:16.51"
"2404" TT,"213253","13:24:31.50"
"2405" TT,"2467338","13:24:59.58"
"2406" TT,"1214258",""
"2408" TT,"1262751","14:56:16.88"
"2409" TT,"13079393","13:26:00.57"
"2412" TT,"1688418","13:25:30.44"
"2413" TT,"136324",""
"2414" TT,"34891",""
"2415" TT,"107140",""
"2417" TT,"72134","13:24:59.59"
"2419" TT,"1550837","13:24:29.19"
"2420" TT,"106638",""
"2421" TT,"751010","13:24:26.79"
"2423" TT,"22100",""
"2424" TT,"1683",""
"2425" TT,"66433",""
"2426" TT,"326568","13:23:03.85"
"2427" TT,"75589",""
"2428" TT,"106988","13:24:24.81"
"2429" TT,"372",""
"2430" TT,"41137",""
"2431" TT,"191187","12:39:13.13"
"2433" TT,"24422",""
"2434" TT,"26867",""
"2436" TT,"779286","13:24:32.01"
"2437" TT,"57073",""
"2438" TT,"17186",""
"2439" TT,"792872","13:24:48.85"
"2440" TT,"29570",""
"2441" TT,"103523","13:24:52.70"
"2442" TT,"68444",""
"2443" TT,"48091",""
"2444" TT,"324301",""
"2448" TT,"2553780","13:25:10.02"
"2449" TT,"1743873","13:25:36.90"
"2450" TT,"23267",""
"2451" TT,"133617",""
"2453" TT,"90771","13:23:32.45"
"2454" TT,"917163","13:28:31.58"
"2455" TT,"446150","13:20:45.41"
"2456" TT,"389001","13:25:40.43"
"2457" TT,"233474","13:24:59.61"
"2458" TT,"149320","13:29:49.70"
"2459" TT,"14897",""
"2460" TT,"20799",""
"2461" TT,"118816",""
"2462" TT,"27622","13:24:59.93"
"2464" TT,"523533","13:24:36.01"
"2465" TT,"49093",""
"2466" TT,"17203",""
"2467" TT,"167260",""
"2468" TT,"13349",""
"2471" TT,"53584",""
"2472" TT,"228962",""
"2474" TT,"101857","13:27:51.41"
"2475" TT,"520596",""
"2476" TT,"39169",""
"2477" TT,"60105",""
"2478" TT,"156432",""
"2480" TT,"42656",""
"2481" TT,"1879184","13:25:05.21"
"2482" TT,"232892","13:24:59.61"
"2483" TT,"57936","13:24:59.62"
"2484" TT,"512848",""
"2485" TT,"1243112","13:24:44.21"
"2486" TT,"66049",""
"2488" TT,"389686",""
"2489" TT,"1418808","13:24:46.01"
"2491" TT,"4454",""
"2492" TT,"1400851","13:25:06.11"
"2493" TT,"79909",""
"2495" TT,"313084","13:24:59.62"
"2496" TT,"72355",""
"2497" TT,"211361","13:28:56.37"
"2498" TT,"7456954","13:25:10.95"
"2499" TT,"225916","13:23:51.99"
"2501" TT,"84934","13:28:36.98"
"2504" TT,"308369",""
"2505" TT,"41256","13:24:59.40"
"2506" TT,"19623","13:23:46.66"
"2509" TT,"53076",""
"2511" TT,"680731","13:25:03.87"
"2514" TT,"189380","13:24:59.94"
"2515" TT,"964206","13:24:33.39"
"2516" TT,"131628",""
"2520" TT,"467831","13:24:21.11"
"2524" TT,"37065",""
"2527" TT,"32040",""
"2528" TT,"3611",""
"2530" TT,"205247",""
"2534" TT,"111022",""
"2535" TT,"42766",""
"2536" TT,"105048","13:24:19.83"
"2537" TT,"232194",""
"2538" TT,"379104","13:24:59.41"
"2539" TT,"45240",""
"2540" TT,"2641",""
"2542" TT,"260332","13:28:23.70"
"2543" TT,"14210",""
"2545" TT,"169214","13:25:05.49"
"2546" TT,"18939",""
"2547" TT,"51","13:28:22.79"
"2548" TT,"343","13:20:00.50"
"2596" TT,"4770",""
"2597" TT,"19022",""
"2601" TT,"409249","13:24:59.42"
"2603" TT,"253","13:25:59.31"
"2605" TT,"159080","13:24:59.95"
"2606" TT,"287231","13:28:50.28"
"2607" TT,"88678","13:23:31.44"
"2608" TT,"522013",""
"2609" TT,"839652","13:26:01.46"
"2610" TT,"1172854","13:28:47.72"
"2611" TT,"29942","11:02:03.59"
"2612" TT,"112121","13:25:06.31"
"2613" TT,"28553","13:13:09.52"
"2614" TT,"195719",""
"2615" TT,"1664914","13:25:05.35"
"2616" TT,"29777",""
"2617" TT,"134003","13:23:55.69"
"2618" TT,"2599650","13:29:28.00"
"2634" TT,"834073",""
"2636" TT,"62729","09:38:36.18"
"2637" TT,"207527","13:25:02.26"
"2640" TT,"9215",""
"2641" TT,"32285",""
"2642" TT,"22498",""
"2701" TT,"8406",""
"2702" TT,"28082",""
"2704" TT,"13707","10:13:44.72"
"2705" TT,"109679",""
"2706" TT,"14976",""
"2707" TT,"68437","13:28:44.89"
"2712" TT,"4246",""
"2719" TT,"10283",""
"2722" TT,"1650",""
"2723" TT,"88311","13:29:01.54"
"2724" TT,"12942",""
"2726" TT,"2335",""
"2727" TT,"42726","13:28:42.08"
"2731" TT,"52451",""
"2732" TT,"12497",""
"2734" TT,"4409",""
"2801" TT,"303451","13:27:12.72"
"2809" TT,"238656","13:25:00.38"
"2812" TT,"298362","13:28:59.14"
"2816" TT,"27683","13:25:03.86"
"2820" TT,"323374",""
"2823" TT,"1297707","13:29:56.42"
"2832" TT,"28548","13:28:46.84"
"2834" TT,"26970","13:30:10.01"
"2836" TT,"149947",""
"2838" TT,"84299",""
"2841" TT,"642406","13:24:41.78"
"2845" TT,"220976","13:24:59.98"
"2849" TT,"41728",""
"2850" TT,"53293","13:30:00.04"
"2851" TT,"19496",""
"2852" TT,"62268","13:25:05.41"
"2855" TT,"115456","13:25:06.11"
"2856" TT,"154997",""
"2867" TT,"389355","13:28:50.84"
"2880" TT,"1051445","13:25:00.57"
"2881" TT,"3622026","13:25:00.58"
"2882" TT,"3699596","13:29:01.59"
"2883" TT,"2957652","13:28:42.35"
"2884" TT,"2779738","13:25:31.60"
"2885" TT,"3378595","13:25:05.64"
"2886" TT,"3883891","13:25:35.00"
"2887" TT,"441","13:25:21.75"
