Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"2417608",""
"0051" TT,"5642",""
"0052" TT,"1246",""
"0053" TT,"2667",""
"0054" TT,"1580",""
"0055" TT,"53990",""
"0056" TT,"292948",""
"0057" TT,"2100",""
"0058" TT,"606",""
"0059" TT,"300",""
"0061" TT,"1642539",""
"006201" TT,"9283",""
"006203" TT,"773",""
"006204" TT,"1201",""
"006205" TT,"1934850",""
"006206" TT,"528257",""
"006207" TT,"727142",""
"006208" TT,"460",""
"00631L" TT,"1228713",""
"00632R" TT,"15260573",""
"00633L" TT,"19342953",""
"00634R" TT,"1245895",""
"00635U" TT,"129030",""
"00636" TT,"358447",""
"00637L" TT,"26917764",""
"00638R" TT,"366334",""
"00639" TT,"986499",""
"00640L" TT,"3013116",""
"00641R" TT,"632454",""
"00642U" TT,"5955154",""
"00643" TT,"392479",""
"00645" TT,"233621",""
"00646" TT,"120133",""
"00647L" TT,"85346",""
"00648R" TT,"636508",""
"00649" TT,"169286",""
"00650L" TT,"199553",""
"00651R" TT,"109806",""
"00652" TT,"706450",""
"00653L" TT,"670216",""
"00654R" TT,"669833",""
"00655L" TT,"1925312",""
"00656R" TT,"442488",""
"008201" TT,"2862",""
"1101" TT,"731806","13:28:00.77"
"1102" TT,"561321","13:28:23.29"
"1103" TT,"29741","13:24:01.47"
"1104" TT,"30083","13:26:00.19"
"1108" TT,"80735","13:25:01.35"
"1109" TT,"8431",""
"1110" TT,"3976","13:30:04.06"
"1201" TT,"163323","13:25:06.04"
"1203" TT,"18085",""
"1210" TT,"340935","13:24:32.56"
"1213" TT,"18433",""
"1215" TT,"513947","13:25:01.35"
"1216" TT,"1209468","13:28:10.72"
"1217" TT,"227190","13:25:04.27"
"1218" TT,"304755",""
"1219" TT,"9868","13:23:40.90"
"1220" TT,"13489",""
"1225" TT,"176","12:55:20.39"
"1227" TT,"181236","13:28:40.80"
"1229" TT,"131605","13:25:12.84"
"1231" TT,"18536",""
"1232" TT,"477","11:03:01.32"
"1233" TT,"6427",""
"1234" TT,"8783","13:24:01.75"
"1235" TT,"29857",""
"1236" TT,"2579",""
"1258" TT,"69771",""
"1259" TT,"1590",""
"1262" TT,"175803","13:24:20.88"
"1264" TT,"14024",""
"1301" TT,"1165094","13:29:50.77"
"1303" TT,"808977","13:28:40.93"
"1304" TT,"348198","13:25:05.69"
"1305" TT,"686873","13:25:01.37"
"1307" TT,"79774","13:25:01.36"
"1308" TT,"51914","13:25:06.02"
"1309" TT,"59001","13:25:01.38"
"1310" TT,"1414847","11:15:48.45"
"1312" TT,"1166659","13:25:01.38"
"1313" TT,"136836","13:25:01.38"
"1314" TT,"6795","13:26:55.34"
"1315" TT,"58859",""
"1316" TT,"93065",""
"1319" TT,"1114616","13:25:01.38"
"1321" TT,"9640","13:23:50.83"
"1323" TT,"271124","13:24:58.69"
"1324" TT,"7933",""
"1325" TT,"16085",""
"1326" TT,"787789","13:27:07.77"
"1333" TT,"28280",""
"1336" TT,"9275",""
"1337" TT,"416445","13:25:01.39"
"1338" TT,"168853","13:25:01.40"
"1339" TT,"84788","13:25:33.91"
"1340" TT,"79682","13:24:40.62"
"1402" TT,"892738","13:25:01.40"
"1409" TT,"3728","13:29:23.04"
"1410" TT,"5115",""
"1413" TT,"13050",""
"1414" TT,"51731",""
"1416" TT,"95862",""
"1417" TT,"156351","13:19:06.74"
"1418" TT,"12073",""
"1419" TT,"8081",""
"1423" TT,"16638",""
"1432" TT,"163104",""
"1434" TT,"196039","13:24:47.39"
"1435" TT,"7090",""
"1436" TT,"4088",""
"1437" TT,"28203",""
"1438" TT,"3328",""
"1439" TT,"26912",""
"1440" TT,"50073","13:32:37.44"
"1441" TT,"11875",""
"1442" TT,"21072","13:23:58.44"
"1443" TT,"3395",""
"1444" TT,"236226","13:25:01.40"
"1445" TT,"53596","13:25:00.06"
"1446" TT,"13817",""
"1447" TT,"90680","13:25:04.40"
"1449" TT,"7259",""
"1451" TT,"28235","11:03:35.37"
"1452" TT,"296446","13:25:01.42"
"1453" TT,"15407",""
"1454" TT,"40000","12:33:23.04"
"1455" TT,"557435","09:10:30.63"
"1456" TT,"2540",""
"1457" TT,"561720","13:24:47.96"
"1459" TT,"107010","12:33:23.04"
"1460" TT,"241970","13:25:01.42"
"1463" TT,"84599","12:15:38.13"
"1464" TT,"346277","13:28:50.70"
"1465" TT,"6718",""
"1466" TT,"22608",""
"1467" TT,"93902","11:36:01.36"
"1468" TT,"5011",""
"1470" TT,"2245",""
"1471" TT,"92636",""
"1472" TT,"9305",""
"1473" TT,"360645",""
"1474" TT,"64416","11:36:01.39"
"1475" TT,"14408",""
"1476" TT,"368177","13:25:31.10"
"1477" TT,"277255","13:25:08.22"
"1503" TT,"10216","11:46:32.96"
"1504" TT,"531181","13:25:53.65"
"1506" TT,"63175","13:25:01.43"
"1507" TT,"37970","13:30:18.97"
"1512" TT,"78617",""
"1513" TT,"182336","13:25:19.67"
"1514" TT,"78462","12:15:38.19"
"1515" TT,"37816","13:25:01.43"
"1516" TT,"50414",""
"1517" TT,"42489","12:15:38.18"
"1519" TT,"135038",""
"1521" TT,"49856","13:25:01.44"
"1522" TT,"540461","13:25:01.45"
"1524" TT,"269452",""
"1525" TT,"120301","12:15:38.18"
"1526" TT,"27747",""
"1527" TT,"282646","13:25:10.43"
"1528" TT,"247296",""
"1529" TT,"5086",""
"1530" TT,"6719","12:15:38.20"
"1531" TT,"22453",""
"1532" TT,"563223","13:24:49.67"
"1533" TT,"470408","13:28:04.08"
"1535" TT,"8972","13:25:04.43"
"1536" TT,"787569","13:24:58.24"
"1537" TT,"66152",""
"1538" TT,"35077",""
"1539" TT,"125306","12:15:38.13"
"1540" TT,"36167",""
"1541" TT,"191799",""
"1558" TT,"22197","13:20:05.37"
"1560" TT,"38315",""
"1565" TT,"56334",""
"1566" TT,"146900",""
"1568" TT,"533863","13:24:42.57"
"1569" TT,"19233",""
"1570" TT,"51231",""
"1580" TT,"109550","13:27:50.74"
"1582" TT,"142997","13:24:35.36"
"1583" TT,"5763",""
"1584" TT,"230096",""
"1586" TT,"80523",""
"1589" TT,"116486","13:26:46.63"
"1590" TT,"203309",""
"1592" TT,"189279",""
"1593" TT,"7286",""
"1595" TT,"7012",""
"1597" TT,"117867",""
"1599" TT,"298171",""
"1603" TT,"46959",""
"1604" TT,"159498","13:23:47.52"
"1605" TT,"1113869","13:25:01.45"
"1608" TT,"32732",""
"1609" TT,"61769",""
"1611" TT,"318319","11:31:57.50"
"1612" TT,"21381",""
"1613" TT,"21497",""
"1614" TT,"23515",""
"1615" TT,"5576",""
"1616" TT,"35910",""
"1617" TT,"4870",""
"1618" TT,"121330",""
"1626" TT,"7605",""
"1701" TT,"74228",""
"1702" TT,"116989","12:44:24.50"
"1704" TT,"1180628","13:24:57.74"
"1707" TT,"162090","13:24:39.33"
"1708" TT,"96112","13:24:00.24"
"1709" TT,"202680","13:25:06.04"
"1710" TT,"496","13:25:01.45"
"1711" TT,"67726","13:32:37.38"
"1712" TT,"129906","13:25:01.47"
"1713" TT,"11019",""
"1714" TT,"288030",""
"1715" TT,"152299",""
"1717" TT,"94256","13:25:03.89"
"1718" TT,"400309","13:32:37.25"
"1720" TT,"93510","13:25:00.20"
"1721" TT,"107953",""
"1722" TT,"372636","13:27:31.09"
"1723" TT,"375","13:07:39.17"
"1724" TT,"44230",""
"1725" TT,"4578",""
"1726" TT,"2684","13:26:00.20"
"1727" TT,"35985",""
"1729" TT,"30193","13:25:01.47"
"1730" TT,"40727",""
"1731" TT,"251188","13:24:54.21"
"1732" TT,"40921","13:25:01.48"
"1733" TT,"41988",""
"1734" TT,"107689","12:15:38.15"
"1735" TT,"136819",""
"1736" TT,"51820",""
"1737" TT,"111553","12:15:38.14"
"1742" TT,"59515",""
"1752" TT,"126108","13:24:50.79"
"1762" TT,"57123","13:25:01.48"
"1773" TT,"14293",""
"1777" TT,"50835",""
"1781" TT,"20086",""
"1783" TT,"68778",""
"1784" TT,"29245",""
"1785" TT,"301972","13:21:40.37"
"1786" TT,"79189","13:25:01.49"
"1787" TT,"45207",""
"1788" TT,"7676","13:29:45.03"
"1789" TT,"228878","13:24:10.67"
"1795" TT,"162932",""
"1799" TT,"20074",""
"1802" TT,"186940","13:25:01.50"
"1805" TT,"26805",""
"1806" TT,"42061",""
"1808" TT,"7139","13:25:26.05"
"1809" TT,"37487",""
"1810" TT,"102791",""
"1813" TT,"14524",""
"1815" TT,"390066",""
"1817" TT,"38993",""
"1902" TT,"55291","13:04:36.63"
"1903" TT,"9066","13:25:36.33"
"1904" TT,"85820","13:26:00.22"
"1905" TT,"229648",""
"1906" TT,"124069","09:51:24.40"
"1907" TT,"19654","13:28:31.87"
"1909" TT,"487985","13:25:01.51"
"2002" TT,"5163171","13:27:51.17"
"2006" TT,"249329","13:25:01.51"
"2007" TT,"39045",""
"2008" TT,"15282",""
"2009" TT,"55066",""
"2010" TT,"124161","13:25:05.42"
"2012" TT,"12508",""
"2013" TT,"116064",""
"2014" TT,"1364942",""
"2015" TT,"145728","13:24:53.41"
"2017" TT,"158404",""
"2020" TT,"92197","12:33:23.04"
"2022" TT,"97140",""
"2023" TT,"16057","13:25:05.77"
"2024" TT,"19153",""
"2025" TT,"94683",""
"2027" TT,"868","12:33:23.00"
"2028" TT,"22766",""
"2029" TT,"54697",""
"2030" TT,"81825","11:31:57.50"
"2031" TT,"116531",""
"2032" TT,"135655","13:25:01.52"
"2033" TT,"10444",""
"2034" TT,"221014","13:24:34.72"
"2035" TT,"1480",""
"2038" TT,"26996",""
"2049" TT,"449317","09:09:01.82"
"2059" TT,"60048","13:27:51.13"
"2061" TT,"18248",""
"2062" TT,"158564","13:25:25.95"
"2063" TT,"4482",""
"2064" TT,"3903",""
"2066" TT,"74915",""
"2101" TT,"999","13:07:00.31"
"2102" TT,"105905","13:25:01.53"
"2103" TT,"736166","13:25:02.14"
"2104" TT,"101894","12:15:38.17"
"2105" TT,"1366668","13:25:00.23"
"2106" TT,"295928","13:29:35.61"
"2107" TT,"185856","13:25:01.54"
"2108" TT,"411475","13:25:01.53"
"2109" TT,"70502","13:25:01.54"
"2114" TT,"12767",""
"2115" TT,"136625",""
"2201" TT,"175085","13:32:36.97"
"2204" TT,"366259","13:25:01.56"
"2206" TT,"280196","12:15:38.15"
"2207" TT,"25868","13:30:00.58"
"2208" TT,"155874","13:25:01.56"
"2221" TT,"27628",""
"2227" TT,"40256",""
"2228" TT,"184744","13:25:00.23"
"2230" TT,"61617",""
"2231" TT,"65977","13:17:28.25"
"2233" TT,"252961","13:24:48.00"
"2235" TT,"13143",""
"2301" TT,"1015515","13:25:43.06"
"2302" TT,"43210",""
"2303" TT,"50","13:29:56.25"
"2305" TT,"200926","11:36:01.43"
"2308" TT,"568399","13:25:43.39"
"2311" TT,"63242","13:30:00.10"
"2312" TT,"678766","13:25:39.18"
"2313" TT,"661","13:24:45.45"
"2314" TT,"334183",""
"2316" TT,"833032","13:27:51.29"
"2317" TT,"4897084","13:24:33.91"
"2321" TT,"8735",""
"2323" TT,"575613","13:02:21.84"
"2324" TT,"1223848","13:32:58.42"
"2325" TT,"2877476","13:25:30.32"
"2327" TT,"207541","13:25:10.24"
"2328" TT,"162607","13:25:00.95"
"2329" TT,"523226",""
"2330" TT,"5959706","13:30:04.29"
"2331" TT,"315209","13:24:39.99"
"2332" TT,"351562","13:25:00.96"
"2337" TT,"98909","13:25:04.51"
"2338" TT,"61521",""
"2340" TT,"324601","13:23:31.20"
"2342" TT,"48264",""
"2344" TT,"1736887","13:25:34.49"
"2345" TT,"1664313","13:24:51.38"
"2347" TT,"484877","13:30:10.55"
"2348" TT,"18",""
"2349" TT,"1950386",""
"2351" TT,"301988","13:24:41.30"
"2352" TT,"368943","13:25:00.97"
"2353" TT,"151344","13:25:17.01"
"2354" TT,"808549","13:25:30.22"
"2355" TT,"653542","13:24:32.66"
"2356" TT,"3180013","13:29:50.29"
"2357" TT,"937","13:27:11.26"
"2358" TT,"61076",""
"2359" TT,"229363","13:25:00.98"
"2360" TT,"99049","13:24:51.40"
"2362" TT,"149358","13:25:00.97"
"2363" TT,"304878","13:28:23.89"
"2364" TT,"34945",""
"2365" TT,"86976","10:22:55.87"
"2367" TT,"272103","12:33:23.00"
"2368" TT,"273200","13:28:23.89"
"2369" TT,"196791","13:25:00.99"
"2371" TT,"691419","13:30:15.45"
"2373" TT,"47","11:49:13.29"
"2374" TT,"62855","12:01:30.96"
"2375" TT,"48157",""
"2376" TT,"220539","13:25:01.00"
"2377" TT,"1143741","13:25:01.00"
"2379" TT,"568027","13:25:30.10"
"2380" TT,"43306",""
"2382" TT,"817611","13:32:58.61"
"2383" TT,"687766","13:24:55.18"
"2385" TT,"233499","13:28:31.53"
"2387" TT,"345797","13:25:01.01"
"2388" TT,"495481",""
"2390" TT,"228332","13:28:23.86"
"2392" TT,"389","13:13:55.54"
"2393" TT,"429349","13:25:03.28"
"2395" TT,"142670","13:24:59.65"
"2397" TT,"161890","13:24:32.67"
"2399" TT,"22415",""
"2401" TT,"950611","13:25:00.30"
"2402" TT,"226645","13:30:14.06"
"2404" TT,"276297","13:25:20.07"
"2405" TT,"2893537",""
"2406" TT,"946541","13:29:50.29"
"2408" TT,"995767","13:29:30.63"
"2409" TT,"11543541","13:27:51.37"
"2412" TT,"1172953","13:25:10.16"
"2413" TT,"115863","12:15:38.15"
"2414" TT,"32200",""
"2415" TT,"106051",""
"2417" TT,"49699","13:25:01.02"
"2419" TT,"1347130","13:25:01.03"
"2420" TT,"93461",""
"2421" TT,"580313","13:25:00.30"
"2423" TT,"19320",""
"2424" TT,"1716",""
"2425" TT,"60366","10:21:50.70"
"2426" TT,"287396",""
"2427" TT,"70561",""
"2428" TT,"83858","13:30:01.37"
"2429" TT,"289",""
"2430" TT,"34288",""
"2431" TT,"184239","13:28:23.89"
"2433" TT,"7439","13:26:00.10"
"2434" TT,"26833",""
"2436" TT,"756286","13:28:23.86"
"2437" TT,"41940",""
"2438" TT,"17093",""
"2439" TT,"833225",""
"2440" TT,"29484",""
"2441" TT,"97456","13:24:38.71"
"2442" TT,"62529",""
"2443" TT,"94578",""
"2444" TT,"342259",""
"2448" TT,"990546","13:25:01.04"
"2449" TT,"1681096","13:28:23.85"
"2450" TT,"464","12:59:12.14"
