Stock Code,Real Time Available Volume for SBL Short Sales,Last Modify,
"0050" TT,"2730637","13:23:02.16"
"0051" TT,"5992",""
"0052" TT,"1393",""
"0053" TT,"2653",""
"0054" TT,"1873",""
"0055" TT,"65016",""
"0056" TT,"289454",""
"0057" TT,"1106",""
"0058" TT,"680",""
"0059" TT,"433",""
"0061" TT,"585298","13:14:43.28"
"006201" TT,"9096",""
"006203" TT,"786",""
"006204" TT,"1233",""
"006205" TT,"1961894",""
"006206" TT,"552273",""
"006207" TT,"708970",""
"006208" TT,"380",""
"00631L" TT,"1178201",""
"00632R" TT,"15424751",""
"00633L" TT,"14345158","13:29:50.16"
"00634R" TT,"1276915",""
"00635U" TT,"151033",""
"00636" TT,"376813",""
"00637L" TT,"16090810","13:29:45.11"
"00638R" TT,"367488",""
"00639" TT,"998312",""
"00640L" TT,"3016293",""
"00641R" TT,"544307",""
"00642U" TT,"6426164",""
"00643" TT,"391033",""
"00645" TT,"232426",""
"00646" TT,"104680",""
"00647L" TT,"99993",""
"00648R" TT,"548065",""
"00649" TT,"220986",""
"00650L" TT,"208860",""
"00651R" TT,"122060",""
"00652" TT,"768036",""
"00653L" TT,"711850",""
"00654R" TT,"765557",""
"00655L" TT,"1836209",""
"00656R" TT,"483057",""
"008201" TT,"3013",""
"1101" TT,"172595","13:27:20.45"
"1102" TT,"297116","13:29:00.79"
"1103" TT,"36110","13:24:01.14"
"1104" TT,"58366",""
"1108" TT,"80748","13:25:00.52"
"1109" TT,"10601",""
"1110" TT,"784","12:57:48.18"
"1201" TT,"264237","13:25:05.17"
"1203" TT,"17126",""
"1210" TT,"367908",""
"1213" TT,"18652",""
"1215" TT,"472605","13:24:59.77"
"1216" TT,"938042","13:29:59.35"
"1217" TT,"272588",""
"1218" TT,"379565",""
"1219" TT,"12948",""
"1220" TT,"11274","13:15:35.62"
"1225" TT,"26621",""
"1227" TT,"278794","13:25:05.34"
"1229" TT,"139400",""
"1231" TT,"22464",""
"1232" TT,"25191",""
"1233" TT,"7890","13:15:35.64"
"1234" TT,"16768",""
"1235" TT,"36687",""
"1236" TT,"2581",""
"1258" TT,"76566",""
"1259" TT,"2282",""
"1262" TT,"167320",""
"1264" TT,"16326",""
"1301" TT,"1284019","13:25:00.55"
"1303" TT,"1073000","13:28:00.71"
"1304" TT,"356333","13:25:00.55"
"1305" TT,"663950","13:24:54.65"
"1307" TT,"74187","13:24:59.79"
"1308" TT,"10119","13:27:18.84"
"1309" TT,"86828","13:25:00.55"
"1310" TT,"1559264","13:24:45.79"
"1312" TT,"1219082","13:24:59.81"
"1313" TT,"167657","13:25:00.56"
"1314" TT,"932988","13:25:05.90"
"1315" TT,"51448","13:15:35.63"
"1316" TT,"89093",""
"1319" TT,"1113524","13:29:53.48"
"1321" TT,"11516","13:24:01.58"
"1323" TT,"231767","13:14:24.18"
"1324" TT,"8427",""
"1325" TT,"19503",""
"1326" TT,"1195139","13:27:26.61"
"1333" TT,"32938",""
"1336" TT,"8788",""
"1337" TT,"801759","13:25:00.56"
"1338" TT,"167056","13:24:59.82"
"1339" TT,"130613",""
"1340" TT,"98770",""
"1402" TT,"1194696","13:25:05.58"
"1409" TT,"118444","13:27:18.88"
"1410" TT,"5669",""
"1413" TT,"13898",""
"1414" TT,"52849","13:15:35.66"
"1416" TT,"90042","09:29:48.69"
"1417" TT,"168412","13:20:56.19"
"1418" TT,"7659",""
"1419" TT,"6629",""
"1423" TT,"17780",""
"1432" TT,"164558",""
"1434" TT,"202636","13:24:59.83"
"1435" TT,"7213",""
"1436" TT,"2838",""
"1437" TT,"37758",""
"1438" TT,"3584",""
"1439" TT,"27418",""
"1440" TT,"120599","13:23:38.72"
"1441" TT,"14265",""
"1442" TT,"31189",""
"1443" TT,"3462",""
"1444" TT,"332165","13:27:18.87"
"1445" TT,"59264","13:25:00.57"
"1446" TT,"14483",""
"1447" TT,"120066","13:25:00.58"
"1449" TT,"7520",""
"1451" TT,"51329",""
"1452" TT,"213504","13:25:00.58"
"1453" TT,"13764",""
"1454" TT,"45322",""
"1455" TT,"637814","13:23:41.29"
"1456" TT,"2066",""
"1457" TT,"592097",""
"1459" TT,"130478",""
"1460" TT,"276530","13:25:00.59"
"1463" TT,"105723",""
"1464" TT,"505207","13:25:00.59"
"1465" TT,"6173","13:15:35.63"
"1466" TT,"21949",""
"1467" TT,"104737",""
"1468" TT,"5098",""
"1470" TT,"2225",""
"1471" TT,"106743",""
"1472" TT,"9595",""
"1473" TT,"368659",""
"1474" TT,"72481",""
"1475" TT,"13967",""
"1476" TT,"172046","13:26:46.94"
"1477" TT,"286038","13:24:39.92"
"1503" TT,"226","13:27:43.52"
"1504" TT,"562104","13:25:00.59"
"1506" TT,"61883","13:25:00.59"
"1507" TT,"108370","13:25:04.50"
"1512" TT,"100426",""
"1513" TT,"210396","13:25:05.65"
"1514" TT,"89151",""
"1515" TT,"37872","13:25:00.59"
"1516" TT,"50215",""
"1517" TT,"49384",""
"1519" TT,"139103",""
"1521" TT,"35561","13:25:00.60"
