"證券代號 TT","可借券賣出股數"
"0050 TT","2,730,637"
"006201 TT","9,096"
"0051 TT","5,992"
"1258 TT","76,566"
"0052 TT","1,393"
"1259 TT","2,282"
"0053 TT","2,653"
"1264 TT","16,326"
"0054 TT","1,873"
"1336 TT","8,788"
"0055 TT","65,016"
"1565 TT","61,023"
"0056 TT","289,454"
"1566 TT","188,556"
"0057 TT","1,106"
"1569 TT","24,095"
"0058 TT","680"
"1570 TT","60,365"
"0059 TT","433"
"1580 TT","118,822"
"0061 TT","1,610,298"
"1584 TT","318,110"
"006203 TT","786"
"1586 TT","90,771"
"006204 TT","1,233"
"1593 TT","7,861"
"006205 TT","1,961,894"
"1595 TT","7,596"
"006206 TT","552,273"
"1597 TT","101,572"
"006207 TT","708,970"
"1599 TT","313,340"
"006208 TT","380"
"1742 TT","81,458"
"00631L TT","1,178,201"
"1752 TT","129,081"
"00632R TT","15,424,751"
"1777 TT","58,580"
"00633L TT","19,816,158"
"1781 TT","20,923"
"00634R TT","1,276,915"
"1784 TT","44,317"
"00635U TT","151,033"
"1785 TT","391,657"
"00636 TT","376,813"
"1787 TT","45,504"
"00637L TT","27,386,810"
"1788 TT","8,481"
"00638R TT","367,488"
"1795 TT","176,356"
"00639 TT","998,312"
"1799 TT","34,985"
"00640L TT","3,016,293"
"1813 TT","16,681"
"00641R TT","544,307"
"1815 TT","503,586"
"00642U TT","6,426,164"
"2035 TT","1,385"
"00643 TT","391,033"
"2061 TT","14,943"
"00645 TT","232,426"
"2063 TT","4,763"
"00646 TT","104,680"
"2064 TT","3,856"
"00647L TT","99,993"
"2066 TT","47,988"
"00648R TT","548,065"
"2221 TT","34,414"
"00649 TT","220,986"
"2230 TT","59,929"
"00650L TT","208,860"
"2233 TT","247,143"
"00651R TT","122,060"
"2235 TT","12,897"
"00652 TT","768,036"
"2596 TT","4,495"
"00653L TT","711,850"
"2636 TT","94,495"
"00654R TT","765,557"
"2640 TT","9,314"
"00655L TT","1,836,209"
"2641 TT","32,446"
"00656R TT","483,057"
"2719 TT","10,155"
"008201 TT","3,013"
"2724 TT","11,682"
"1101 TT","1,656,595"
"2726 TT","2,610"
"1102 TT","843,116"
"2732 TT","11,954"
"1103 TT","48,110"
"2734 TT","4,427"
"1104 TT","58,366"
"2916 TT","8,752"
"1108 TT","88,748"
"2924 TT","4,571"
"1109 TT","10,601"
"2926 TT","11,985"
"1110 TT","7,784"
"3068 TT","22,154"
"1201 TT","360,237"
"3071 TT","36,655"
"1203 TT","17,126"
"3078 TT","635,298"
"1210 TT","367,908"
"3081 TT","160,337"
"1213 TT","18,652"
"3083 TT","75,719"
"1215 TT","486,605"
"3086 TT","246,452"
"1216 TT","2,023,042"
"3088 TT","71,953"
"1217 TT","272,588"
"3092 TT","112,111"
"1218 TT","379,565"
"3093 TT","2,828"
"1219 TT","12,948"
"3105 TT","1,561,722"
"1220 TT","15,274"
"3114 TT","7,757"
"1225 TT","26,621"
"3118 TT","8,292"
"1227 TT","284,794"
"3122 TT","213,698"
"1229 TT","139,400"
"3128 TT","13,751"
"1231 TT","22,464"
"3131 TT","100,756"
"1232 TT","25,191"
"3141 TT","846,282"
"1233 TT","7,890"
"3144 TT","21,276"
"1234 TT","16,768"
"3152 TT","121,472"
"1235 TT","36,687"
"3162 TT","3,225"
"1236 TT","2,581"
"3163 TT","614,521"
"1262 TT","167,320"
"3169 TT","30,946"
"1301 TT","1,288,019"
"3171 TT","8,796"
"1303 TT","1,270,000"
"3176 TT","105,108"
"1304 TT","395,333"
"3202 TT","283,908"
"1305 TT","674,950"
"3205 TT","83,299"
"1307 TT","93,187"
"3206 TT","24,370"
"1308 TT","138,119"
"3207 TT","4,589"
"1309 TT","105,828"
"3211 TT","90,482"
"1310 TT","1,559,264"
"3213 TT","12,408"
"1312 TT","1,304,082"
"3217 TT","19,401"
"1313 TT","198,657"
"3218 TT","38,874"
"1314 TT","1,203,988"
"3219 TT","2,889"
"1315 TT","51,448"
"3221 TT","625,571"
"1316 TT","89,093"
"3224 TT","67,854"
"1319 TT","1,160,524"
"3226 TT","8,010"
"1321 TT","16,516"
"3227 TT","463,469"
"1323 TT","235,767"
"3230 TT","15,304"
"1324 TT","8,427"
"3232 TT","34,610"
"1325 TT","19,503"
"3234 TT","1,031,463"
"1326 TT","1,231,139"
"3236 TT","165,447"
"1337 TT","811,759"
"3252 TT","24,031"
"1338 TT","171,056"
"3259 TT","32,413"
"1339 TT","130,613"
"3260 TT","216,315"
"1340 TT","98,770"
"3264 TT","383,023"
"1402 TT","1,407,696"
"3265 TT","128,828"
"1409 TT","160,444"
"3272 TT","69,778"
"1410 TT","5,669"
"3276 TT","23,473"
"1414 TT","57,849"
"3284 TT","100,926"
"1416 TT","94,042"
"3285 TT","35,981"
"1417 TT","186,412"
"3287 TT","17,845"
"1418 TT","7,659"
"3289 TT","437,133"
"1419 TT","6,629"
"3290 TT","69,841"
"1423 TT","17,780"
"3291 TT","43,279"
"1432 TT","164,558"
"3293 TT","730,284"
"1434 TT","205,636"
"3294 TT","49,522"
"1436 TT","2,838"
"3297 TT","9,553"
"1437 TT","37,758"
"3299 TT","338,699"
"1439 TT","27,418"
"3303 TT","171,566"
"1440 TT","140,599"
"3306 TT","7,089"
"1442 TT","31,189"
"3310 TT","121,641"
"1443 TT","3,462"
"3313 TT","24,183"
"1444 TT","353,165"
"3317 TT","63,551"
"1445 TT","62,264"
"3322 TT","53,196"
"1446 TT","14,483"
"3323 TT","43,201"
"1447 TT","226,066"
"3324 TT","1,275,789"
"1451 TT","51,329"
"3325 TT","79,419"
"1452 TT","323,504"
"3332 TT","786"
"1453 TT","13,764"
"3339 TT","35,914"
"1454 TT","45,322"
"3354 TT","19,832"
"1455 TT","652,814"
"3360 TT","560,229"
