"證券代號 TT","可借券賣出股數"
"0050 TT","2,299,024"
"006201 TT","9,123"
"0051 TT","5,506"
"1258 TT","60,918"
"0052 TT","1,233"
"1259 TT","1,590"
"0053 TT","2,693"
"1264 TT","13,551"
"0054 TT","1,693"
"1336 TT","8,882"
"0055 TT","49,917"
"1565 TT","56,899"
"0056 TT","284,375"
"1566 TT","140,589"
"0057 TT","2,080"
"1569 TT","15,552"
"0058 TT","566"
"1570 TT","46,580"
"0059 TT","247"
"1580 TT","104,339"
"0061 TT","1,640,708"
"1584 TT","220,514"
"006203 TT","646"
"1586 TT","67,360"
"006204 TT","1,121"
"1593 TT","6,982"
"006205 TT","1,905,526"
"1595 TT","6,859"
"006206 TT","517,397"
"1597 TT","116,209"
"006207 TT","722,202"
"1599 TT","292,545"
"006208 TT","486"
"1742 TT","55,746"
"00631L TT","1,260,545"
"1752 TT","114,629"
"00632R TT","15,037,155"
"1777 TT","49,090"
"00633L TT","18,953,846"
"1781 TT","19,926"
"00634R TT","1,231,329"
"1784 TT","31,391"
"00635U TT","112,915"
"1785 TT","279,676"
"00636 TT","356,313"
"1787 TT","44,675"
"00637L TT","26,232,479"
"1788 TT","8,119"
"00638R TT","362,668"
"1795 TT","160,461"
"00639 TT","959,219"
"1799 TT","18,411"
"00640L TT","3,017,591"
"1813 TT","13,838"
"00641R TT","638,454"
"1815 TT","375,475"
"00642U TT","5,859,190"
"2035 TT","1,314"
"00643 TT","395,793"
"2061 TT","18,214"
"00645 TT","230,835"
"2063 TT","3,901"
"00646 TT","116,000"
"2064 TT","3,883"
"00647L TT","80,586"
"2066 TT","77,302"
"00648R TT","635,216"
"2221 TT","27,014"
"00649 TT","160,773"
"2230 TT","61,243"
"00650L TT","198,946"
"2233 TT","254,481"
"00651R TT","106,340"
"2235 TT","13,278"
"00652 TT","686,090"
"2596 TT","4,733"
"00653L TT","651,605"
"2636 TT","86,849"
"00654R TT","645,379"
"2640 TT","8,706"
"00655L TT","1,890,315"
"2641 TT","31,116"
"00656R TT","429,453"
"2719 TT","9,203"
