"證券代號 TT","可借券賣出股數"
"0050 TT","2,143,279"
"006201 TT","9,143"
"0051 TT","5,519"
"1258 TT","57,123"
"0052 TT","1,326"
"1259 TT","1,550"
"0053 TT","2,734"
"1264 TT","12,369"
"0054 TT","1,634"
"1336 TT","8,542"
"0055 TT","49,303"
"1565 TT","56,931"
"0056 TT","276,318"
"1566 TT","134,549"
"0057 TT","2,113"
"1569 TT","14,948"
"0058 TT","593"
"1570 TT","44,719"
"0059 TT","267"
"1580 TT","95,416"
"0061 TT","1,583,568"
"1584 TT","187,338"
"006203 TT","633"
"1586 TT","63,652"
"006204 TT","1,106"
"1593 TT","6,916"
"006205 TT","1,813,154"
"1595 TT","6,706"
"006206 TT","500,003"
"1597 TT","109,189"
"006207 TT","694,913"
"1599 TT","289,006"
"006208 TT","466"
"1742 TT","50,970"
"00631L TT","1,263,635"
"1752 TT","109,811"
"00632R TT","14,754,291"
"1777 TT","48,174"
"00633L TT","18,407,210"
"1781 TT","19,306"
"00634R TT","1,196,439"
"1784 TT","30,757"
"00635U TT","105,967"
"1785 TT","266,064"
"00636 TT","348,507"
"1787 TT","42,207"
"00637L TT","25,476,110"
"1788 TT","7,907"
"00638R TT","368,154"
"1795 TT","158,769"
"00639 TT","925,746"
"1799 TT","17,238"
"00640L TT","3,024,318"
"1813 TT","13,438"
"00641R TT","640,494"
"1815 TT","349,200"
"00642U TT","5,819,572"
"2035 TT","1,321"
"00643 TT","394,319"
"2061 TT","16,850"
"00645 TT","231,128"
"2063 TT","3,378"
"00646 TT","110,020"
"2064 TT","3,949"
"00647L TT","78,980"
"2066 TT","88,103"
"00648R TT","636,103"
"2221 TT","25,581"
"00649 TT","155,146"
"2230 TT","61,623"
"00650L TT","196,980"
"2233 TT","256,370"
"00651R TT","105,966"
"2235 TT","13,172"
"00652 TT","664,285"
"2596 TT","4,739"
"00653L TT","640,925"
"2636 TT","85,680"
"00654R TT","627,460"
"2640 TT","8,374"
"00655L TT","1,844,629"
"2641 TT","30,482"
"00656R TT","421,385"
"2719 TT","9,383"
"008201 TT","2,828"
"2724 TT","10,134"
"1101 TT","1,535,453"
"2726 TT","3,150"
"1102 TT","783,150"
"2732 TT","11,304"
"1103 TT","41,553"
"2734 TT","3,255"
"1104 TT","61,780"
"2916 TT","8,758"
"1108 TT","85,235"
"2924 TT","1,283"
"1109 TT","8,033"
"2926 TT","12,808"
"1110 TT","8,005"
"3068 TT","39,493"
"1201 TT","284,563"
"3071 TT","30,008"
"1203 TT","17,895"
"3078 TT","699,017"
"1210 TT","317,990"
"3081 TT","170,594"
"1213 TT","17,826"
"3083 TT","48,939"
"1215 TT","537,700"
"3086 TT","350,194"
"1216 TT","2,001,265"
"3088 TT","47,246"
"1217 TT","226,422"
"3092 TT","116,004"
"1218 TT","188,611"
"3093 TT","2,678"
"1219 TT","10,404"
"3105 TT","1,639,282"
"1220 TT","13,098"
"3114 TT","7,003"
"1225 TT","18,988"
"3118 TT","7,507"
"1227 TT","261,413"
"3122 TT","208,485"
"1229 TT","132,761"
"3128 TT","33,470"
"1231 TT","17,863"
"3131 TT","90,577"
"1232 TT","23,547"
"3141 TT","852,393"
"1233 TT","6,706"
"3144 TT","16,856"
"1234 TT","19,297"
"3152 TT","101,080"
"1235 TT","23,708"
"3162 TT","2,339"
"1236 TT","2,476"
"3163 TT","441,625"
"1262 TT","178,135"
"3169 TT","24,211"
"1301 TT","1,261,359"
"3171 TT","7,897"
"1303 TT","1,276,039"
"3176 TT","106,409"
"1304 TT","360,942"
"3202 TT","314,917"
"1305 TT","673,781"
"3205 TT","88,311"
"1307 TT","90,780"
"3206 TT","44,745"
"1308 TT","99,862"
"3207 TT","3,360"
"1309 TT","72,244"
"3211 TT","96,561"
"1310 TT","1,436,256"
"3213 TT","12,600"
"1312 TT","1,217,918"
"3217 TT","17,583"
"1313 TT","145,529"
"3218 TT","29,909"
"1314 TT","1,273,775"
"3219 TT","2,369"
"1315 TT","58,730"
"3221 TT","571,025"
"1316 TT","87,718"
"3224 TT","68,836"
"1319 TT","1,141,339"
"3226 TT","6,657"
"1321 TT","14,333"
"3227 TT","440,416"
"1323 TT","275,834"
"3230 TT","14,591"
"1324 TT","6,033"
"3232 TT","31,416"
"1325 TT","14,487"
"3234 TT","1,049,264"
"1326 TT","1,210,492"
"3236 TT","85,190"
"1337 TT","587,055"
"3252 TT","32,142"
"1338 TT","169,938"
"3259 TT","25,190"
"1339 TT","98,701"
"3260 TT","188,058"
"1340 TT","122,686"
"3264 TT","283,523"
"1402 TT","1,243,236"
"3265 TT","94,889"
"1409 TT","132,906"
"3272 TT","41,813"
"1410 TT","6,641"
"3276 TT","13,799"
"1414 TT","50,230"
"3284 TT","94,288"
"1416 TT","94,425"
"3285 TT","29,350"
"1417 TT","142,400"
"3287 TT","14,516"
"1418 TT","11,720"
"3289 TT","403,578"
"1419 TT","8,229"
"3290 TT","61,799"
"1423 TT","15,486"
"3291 TT","52,619"
"1432 TT","132,707"
"3293 TT","597,914"
"1434 TT","211,425"
"3294 TT","45,816"
"1436 TT","4,617"
"3297 TT","7,452"
"1437 TT","25,976"
"3299 TT","270,228"
"1439 TT","27,375"
"3303 TT","168,590"
"1440 TT","140,972"
"3306 TT","5,558"
"1442 TT","26,161"
"3310 TT","100,919"
"1443 TT","2,957"
"3313 TT","18,368"
"1444 TT","203,052"
"3317 TT","69,994"
"1445 TT","54,014"
"3322 TT","48,305"
"1446 TT","13,486"
"3323 TT","37,420"
"1447 TT","138,751"
"3324 TT","1,217,111"
"1451 TT","49,619"
"3325 TT","53,476"
"1452 TT","284,742"
"3332 TT","586"
"1453 TT","15,347"
"3339 TT","25,736"
"1454 TT","41,730"
"3354 TT","19,780"
"1455 TT","519,870"
"3360 TT","469,267"
"1457 TT","537,292"
"3362 TT","9,045"
"1459 TT","98,517"
"3363 TT","58,005"
"1460 TT","242,920"
"3372 TT","61,375"
"1463 TT","80,288"
"3373 TT","249,907"
"1464 TT","538,044"
"3374 TT","380,828"
"1465 TT","6,657"
"3379 TT","4,375"
"1466 TT","22,378"
"3388 TT","4,964"
"1467 TT","89,112"
"3390 TT","28,425"
"1470 TT","1,191"
"3402 TT","150,943"
"1471 TT","87,461"
"3428 TT","282,465"
"1473 TT","382,123"
"3434 TT","8,620"
"1474 TT","63,536"
"3438 TT","103,955"
"1476 TT","377,746"
"3441 TT","11,825"
"1477 TT","404,010"
"3444 TT","10,551"
"1503 TT","10,531"
"3452 TT","134,275"
"1504 TT","566,535"
"3455 TT","256,759"
"1506 TT","68,645"
"3466 TT","1,573"
"1507 TT","127,287"
"3479 TT","185,845"
"1512 TT","64,290"
"3483 TT","225,695"
"1513 TT","184,974"
"3484 TT","135,221"
"1514 TT","63,957"
"3489 TT","4,280"
"1515 TT","45,637"
"3490 TT","240,022"
"1516 TT","50,104"
"3491 TT","156,935"
"1517 TT","45,485"
"3492 TT","217,319"
"1519 TT","128,470"
"3498 TT","179,233"
"1521 TT","63,843"
"3499 TT","127,478"
"1522 TT","568,380"
"3508 TT","191,099"
"1524 TT","288,962"
"3511 TT","153,613"
"1525 TT","129,362"
"3512 TT","15,180"
"1526 TT","24,404"
"3516 TT","6,956"
"1527 TT","368,639"
"3520 TT","259,237"
"1528 TT","251,549"
"3521 TT","62,643"
"1530 TT","7,857"
"3522 TT","73,518"
"1531 TT","21,407"
"3523 TT","106,807"
"1532 TT","595,998"
"3526 TT","547,036"
"1533 TT","616,381"
"3527 TT","74,709"
"1535 TT","12,058"
"3528 TT","28,935"
"1536 TT","1,033,538"
"3529 TT","68,909"
"1537 TT","67,176"
"3531 TT","3,405"
"1539 TT","123,924"
"3537 TT","44,591"
"1540 TT","28,917"
"3540 TT","216,277"
"1541 TT","188,861"
"3541 TT","25,718"
"1558 TT","21,406"
"3546 TT","49,684"
"1560 TT","35,140"
"3548 TT","242,513"
"1568 TT","532,226"
"3551 TT","13,555"
"1582 TT","137,078"
"3552 TT","311,282"
"1583 TT","5,501"
"3553 TT","29,332"
"1589 TT","154,064"
"3556 TT","105,327"
"1590 TT","191,825"
"3558 TT","95,111"
"1592 TT","203,940"
"3563 TT","8,967"
"1603 TT","46,614"
"3564 TT","20,306"
"1604 TT","206,605"
"3567 TT","69,910"
"1605 TT","1,251,370"
"3577 TT","11,816"
"1608 TT","28,802"
"3580 TT","51,440"
"1609 TT","59,203"
"3581 TT","99,843"
"1611 TT","275,813"
"3587 TT","85,630"
"1612 TT","20,669"
"3594 TT","121,911"
"1614 TT","23,577"
"3609 TT","9,187"
"1615 TT","4,819"
"3611 TT","28,665"
"1617 TT","4,382"
"3615 TT","97,001"
"1618 TT","117,087"
"3623 TT","34,728"
"1626 TT","7,513"
"3624 TT","156,189"
"1701 TT","66,962"
"3625 TT","22,895"
"1702 TT","146,126"
"3628 TT","12,381"
"1704 TT","1,277,234"
"3630 TT","38,863"
"1707 TT","236,628"
"3631 TT","6,301"
"1708 TT","104,416"
"3632 TT","232,366"
"1709 TT","227,358"
"3642 TT","116,016"
"1710 TT","248,825"
"3646 TT","7,291"
"1711 TT","213,133"
"3652 TT","3,217"
"1712 TT","124,534"
"3658 TT","128,602"
"1713 TT","9,230"
"3662 TT","1,286,519"
"1714 TT","272,945"
"3663 TT","10,541"
"1715 TT","158,616"
"3664 TT","154,469"
"1717 TT","105,210"
"3666 TT","131,304"
"1718 TT","583,425"
"3675 TT","7,849"
"1720 TT","89,665"
"3680 TT","78,684"
"1721 TT","97,304"
"3685 TT","73,438"
"1722 TT","467,586"
"3687 TT","61,054"
"1723 TT","73,075"
"3689 TT","46,173"
"1724 TT","43,056"
"3691 TT","141,543"
"1725 TT","4,570"
"3693 TT","34,178"
"1726 TT","12,913"
"3707 TT","679,132"
"1727 TT","35,445"
"4102 TT","30,160"
"1729 TT","76,751"
"4103 TT","8,432"
"1730 TT","38,897"
"4105 TT","506,034"
"1731 TT","167,480"
"4107 TT","138,421"
"1732 TT","40,414"
"4109 TT","37,746"
"1733 TT","42,618"
"4111 TT","23,908"
"1734 TT","98,387"
"4113 TT","107,437"
"1735 TT","122,695"
"4114 TT","100,969"
"1736 TT","49,857"
"4116 TT","54,690"
"1737 TT","107,964"
"4120 TT","63,076"
"1762 TT","53,608"
"4121 TT","65,211"
"1773 TT","14,378"
"4123 TT","267,097"
"1783 TT","65,268"
"4126 TT","146,433"
"1786 TT","70,496"
"4127 TT","35,592"
"1789 TT","295,739"
"4129 TT","213,894"
"1802 TT","618,706"
"4130 TT","342,760"
"1805 TT","26,910"
"4138 TT","24,386"
"1806 TT","39,049"
"4153 TT","84,919"
"1808 TT","268,755"
"4157 TT","279,963"
"1809 TT","33,646"
"4161 TT","140,584"
"1810 TT","91,690"
"4162 TT","224,580"
"1817 TT","36,722"
