"證券代號 TT","可借券賣出股數"
"0050 TT","2,576,944"
"006201 TT","8,923"
"0051 TT","5,606"
"1258 TT","73,635"
"0052 TT","1,393"
"1259 TT","1,884"
"0053 TT","2,773"
"1264 TT","15,950"
"0054 TT","1,573"
"1336 TT","9,367"
"0055 TT","55,812"
"1565 TT","59,761"
"0056 TT","293,015"
"1566 TT","166,911"
"0057 TT","2,200"
"1569 TT","24,309"
"0058 TT","666"
"1570 TT","56,699"
"0059 TT","400"
"1580 TT","113,059"
"0061 TT","1,669,430"
"1584 TT","294,379"
"006203 TT","766"
"1586 TT","83,609"
"006204 TT","1,194"
"1593 TT","7,641"
"006205 TT","1,959,087"
"1595 TT","7,252"
"006206 TT","533,713"
"1597 TT","100,857"
"006207 TT","725,965"
"1599 TT","303,734"
"006208 TT","446"
"1742 TT","67,574"
"00631L TT","1,206,304"
"1752 TT","127,623"
"00632R TT","15,529,490"
"1777 TT","53,153"
"00633L TT","19,585,423"
"1781 TT","20,640"
"00634R TT","1,274,142"
"1784 TT","43,710"
"00635U TT","139,745"
"1785 TT","321,046"
"00636 TT","361,627"
"1787 TT","45,661"
"00637L TT","27,316,836"
"1788 TT","8,568"
"00638R TT","369,794"
"1795 TT","169,799"
"00639 TT","1,020,426"
"1799 TT","33,881"
"00640L TT","3,052,833"
"1813 TT","15,712"
"00641R TT","616,974"
"1815 TT","426,060"
"00642U TT","6,246,590"
"2035 TT","1,332"
"00643 TT","392,399"
"2061 TT","14,768"
"00645 TT","233,266"
"2063 TT","4,706"
"00646 TT","120,560"
"2064 TT","3,696"
"00647L TT","96,073"
"2066 TT","67,161"
"00648R TT","632,989"
"2221 TT","28,094"
"00649 TT","196,900"
"2230 TT","62,669"
"00650L TT","199,706"
"2233 TT","249,110"
"00651R TT","109,386"
"2235 TT","12,910"
"00652 TT","738,957"
"2596 TT","4,983"
"00653L TT","705,106"
"2636 TT","91,803"
"00654R TT","715,750"
"2640 TT","9,169"
"00655L TT","1,937,495"
"2641 TT","31,856"
"00656R TT","463,878"
"2719 TT","9,710"
"008201 TT","2,966"
"2724 TT","10,856"
"1101 TT","1,605,557"
"2726 TT","2,837"
"1102 TT","818,978"
"2732 TT","13,043"
"1103 TT","45,283"
"2734 TT","4,659"
"1104 TT","57,475"
"2916 TT","8,845"
"1108 TT","85,781"
"2924 TT","4,344"
"1109 TT","9,157"
"2926 TT","12,192"
"1110 TT","7,911"
"3068 TT","38,128"
"1201 TT","326,429"
"3071 TT","31,326"
"1203 TT","17,166"
"3078 TT","675,098"
"1210 TT","350,398"
"3081 TT","160,085"
"1213 TT","18,380"
"3083 TT","72,950"
"1215 TT","515,550"
"3086 TT","271,115"
"1216 TT","2,050,429"
"3088 TT","63,678"
"1217 TT","270,483"
"3092 TT","114,429"
"1218 TT","390,148"
"3093 TT","2,874"
"1219 TT","12,540"
"3105 TT","1,553,666"
"1220 TT","14,451"
"3114 TT","7,237"
"1225 TT","25,731"
"3118 TT","7,591"
"1227 TT","275,810"
"3122 TT","216,958"
"1229 TT","137,611"
"3128 TT","27,722"
"1231 TT","18,705"
"3131 TT","101,349"
"1232 TT","24,973"
"3141 TT","843,594"
"1233 TT","7,846"
"3144 TT","18,506"
"1234 TT","18,395"
"3152 TT","120,150"
"1235 TT","33,865"
"3162 TT","3,016"
"1236 TT","2,622"
"3163 TT","561,170"
"1262 TT","187,615"
"3169 TT","29,252"
"1301 TT","1,250,146"
"3171 TT","9,077"
"1303 TT","1,269,697"
"3176 TT","101,451"
"1304 TT","374,867"
"3202 TT","284,031"
"1305 TT","666,783"
"3205 TT","90,714"
"1307 TT","92,235"
"3206 TT","23,403"
"1308 TT","130,427"
"3207 TT","4,332"
"1309 TT","80,402"
"3211 TT","93,726"
"1310 TT","1,482,451"
"3213 TT","13,190"
"1312 TT","1,261,106"
"3217 TT","19,264"
"1313 TT","162,588"
"3218 TT","35,855"
"1314 TT","1,133,788"
"3219 TT","2,915"
"1315 TT","59,559"
"3221 TT","599,154"
"1316 TT","92,864"
"3224 TT","67,083"
"1319 TT","1,151,595"
"3226 TT","7,056"
"1321 TT","15,603"
"3227 TT","465,526"
"1323 TT","254,546"
"3230 TT","15,120"
"1324 TT","8,020"
"3232 TT","33,390"
"1325 TT","18,121"
"3234 TT","1,025,321"
"1326 TT","1,227,293"
"3236 TT","156,286"
"1337 TT","712,509"
"3252 TT","24,571"
"1338 TT","168,277"
"3259 TT","29,548"
"1339 TT","130,884"
"3260 TT","203,520"
"1340 TT","101,382"
"3264 TT","334,854"
"1402 TT","1,249,350"
"3265 TT","114,176"
"1409 TT","146,448"
"3272 TT","52,160"
"1410 TT","5,099"
"3276 TT","22,880"
"1414 TT","52,296"
"3284 TT","98,614"
"1416 TT","95,549"
"3285 TT","33,645"
"1417 TT","167,781"
"3287 TT","17,318"
"1418 TT","11,954"
"3289 TT","440,898"
"1419 TT","7,459"
"3290 TT","65,272"
"1423 TT","16,147"
"3291 TT","43,865"
"1432 TT","166,751"
"3293 TT","706,580"
"1434 TT","210,199"
"3294 TT","50,231"
"1436 TT","3,241"
"3297 TT","9,720"
"1437 TT","33,805"
"3299 TT","337,702"
"1439 TT","27,358"
"3303 TT","188,119"
"1440 TT","140,336"
"3306 TT","6,107"
"1442 TT","26,929"
"3310 TT","115,037"
"1443 TT","3,325"
"3313 TT","23,046"
"1444 TT","288,260"
"3317 TT","71,696"
"1445 TT","59,623"
"3322 TT","50,603"
"1446 TT","14,399"
"3323 TT","41,004"
"1447 TT","167,722"
"3324 TT","1,237,087"
"1451 TT","50,842"
"3325 TT","77,366"
"1452 TT","310,066"
"3332 TT","680"
"1453 TT","13,922"
"3339 TT","35,736"
"1454 TT","44,233"
"3354 TT","20,111"
