"證券代號 TT","可借券賣出股數"
"0050 TT","1,823,850"
"006201 TT","10,216"
"0051 TT","5,286"
"1258 TT","37,292"
"0052 TT","1,293"
"1259 TT","3,559"
"0053 TT","2,434"
"1264 TT","10,762"
"0054 TT","1,640"
"1336 TT","8,762"
"0055 TT","45,557"
"1565 TT","55,419"
"0056 TT","341,777"
"1566 TT","126,745"
"0057 TT","2,806"
"1569 TT","13,786"
"0058 TT","720"
"1570 TT","40,202"
"0059 TT","227"
"1580 TT","77,425"
"0061 TT","1,456,815"
"1584 TT","143,812"
"006203 TT","413"
"1586 TT","63,327"
"006204 TT","950"
"1593 TT","6,726"
"006205 TT","1,586,977"
"1595 TT","4,296"
"006206 TT","441,037"
"1597 TT","89,869"
"006207 TT","619,952"
"1599 TT","283,085"
"006208 TT","480"
"1742 TT","47,646"
"00631L TT","1,464,316"
"1752 TT","95,796"
"00632R TT","14,881,798"
"1777 TT","34,164"
"00633L TT","17,058,802"
"1781 TT","17,381"
"00634R TT","1,128,075"
"1784 TT","27,291"
"00635U TT","113,391"
"1785 TT","239,219"
"00636 TT","296,033"
"1787 TT","39,285"
"00637L TT","23,645,812"
"1788 TT","7,610"
"00638R TT","332,200"
"1795 TT","190,754"
"00639 TT","834,394"
"1799 TT","15,632"
"00640L TT","3,427,894"
"1813 TT","12,060"
"00641R TT","792,934"
"1815 TT","312,719"
"00642U TT","5,375,999"
"2035 TT","1,207"
"00643 TT","391,886"
"2061 TT","16,824"
"00645 TT","233,115"
"2063 TT","3,196"
"00646 TT","110,668"
"2064 TT","3,955"
"00647L TT","63,873"
"2066 TT","98,412"
"00648R TT","725,477"
"2221 TT","24,568"
"00649 TT","138,846"
"2230 TT","62,518"
"00650L TT","201,513"
"2233 TT","268,138"
"00651R TT","127,433"
"2235 TT","12,152"
"00652 TT","640,752"
"2596 TT","4,491"
"00653L TT","661,534"
"2636 TT","76,606"
"00654R TT","573,947"
"2640 TT","7,593"
"00655L TT","1,809,920"
"2641 TT","30,729"
"00656R TT","393,886"
"2719 TT","8,831"
"008201 TT","2,487"
"2724 TT","9,107"
"1101 TT","1,519,239"
"2726 TT","3,643"
"1102 TT","777,543"
"2732 TT","9,086"
"1103 TT","41,837"
"2734 TT","2,950"
"1104 TT","59,455"
"2916 TT","8,623"
"1108 TT","86,635"
"2924 TT","1,910"
"1109 TT","7,229"
"2926 TT","12,065"
"1110 TT","8,035"
"3068 TT","38,856"
"1201 TT","209,211"
"3071 TT","28,638"
"1203 TT","17,753"
"3078 TT","736,808"
"1210 TT","249,637"
"3081 TT","181,630"
"1213 TT","17,403"
"3083 TT","38,380"
"1215 TT","480,395"
"3086 TT","360,229"
"1216 TT","1,957,296"
"3088 TT","37,365"
"1217 TT","206,145"
"3092 TT","97,975"
"1218 TT","140,589"
"3093 TT","2,671"
