"證券代號 TT","可借券賣出股數"
"0050 TT","2,647,196"
"006201 TT","9,069"
"0051 TT","5,906"
"1258 TT","75,909"
"0052 TT","1,400"
"1259 TT","2,129"
"0053 TT","2,640"
"1264 TT","16,291"
"0054 TT","1,627"
"1336 TT","8,974"
"0055 TT","60,781"
"1565 TT","61,113"
"0056 TT","296,119"
"1566 TT","178,532"
"0057 TT","2,213"
"1569 TT","24,439"
"0058 TT","686"
"1570 TT","58,818"
"0059 TT","434"
"1580 TT","116,960"
"0061 TT","1,663,371"
"1584 TT","315,224"
"006203 TT","760"
"1586 TT","86,458"
"006204 TT","1,234"
"1593 TT","7,781"
"006205 TT","1,986,920"
"1595 TT","7,405"
"006206 TT","541,773"
"1597 TT","101,260"
"006207 TT","728,170"
"1599 TT","313,897"
"006208 TT","420"
"1742 TT","77,364"
"00631L TT","1,209,504"
"1752 TT","127,875"
"00632R TT","15,604,315"
"1777 TT","54,600"
"00633L TT","19,901,546"
"1781 TT","20,604"
"00634R TT","1,291,849"
"1784 TT","43,917"
"00635U TT","148,247"
"1785 TT","354,041"
"00636 TT","370,560"
"1787 TT","45,858"
"00637L TT","27,772,953"
"1788 TT","8,501"
"00638R TT","372,581"
"1795 TT","174,755"
"00639 TT","1,006,933"
"1799 TT","33,931"
"00640L TT","3,066,220"
"1813 TT","16,199"
"00641R TT","575,800"
"1815 TT","482,618"
"00642U TT","6,243,823"
"2035 TT","1,332"
"00643 TT","393,679"
"2061 TT","14,979"
"00645 TT","233,640"
"2063 TT","4,726"
"00646 TT","105,807"
"2064 TT","3,796"
"00647L TT","98,427"
"2066 TT","60,312"
"00648R TT","592,013"
"2221 TT","29,240"
"00649 TT","197,513"
"2230 TT","60,902"
"00650L TT","193,646"
"2233 TT","248,222"
"00651R TT","109,706"
"2235 TT","12,863"
"00652 TT","740,674"
"2596 TT","5,099"
"00653L TT","700,406"
"2636 TT","93,223"
"00654R TT","737,920"
"2640 TT","9,321"
"00655L TT","1,978,100"
"2641 TT","32,154"
"00656R TT","474,572"
"2719 TT","9,969"
"008201 TT","2,986"
"2724 TT","11,196"
"1101 TT","1,634,958"
"2726 TT","2,730"
"1102 TT","836,152"
"2732 TT","12,535"
"1103 TT","47,684"
"2734 TT","4,771"
"1104 TT","57,829"
"2916 TT","8,692"
"1108 TT","85,962"
"2924 TT","4,551"
"1109 TT","10,036"
"2926 TT","12,086"
"1110 TT","8,032"
"3068 TT","36,080"
"1201 TT","344,320"
"3071 TT","31,479"
"1203 TT","17,210"
"3078 TT","684,048"
"1210 TT","364,220"
"3081 TT","162,102"
"1213 TT","18,353"
"3083 TT","73,689"
"1215 TT","498,954"
"3086 TT","259,907"
"1216 TT","2,050,730"
"3088 TT","69,485"
"1217 TT","272,021"
"3092 TT","112,388"
"1218 TT","387,554"
"3093 TT","2,881"
"1219 TT","12,726"
"3105 TT","1,572,364"
"1220 TT","15,138"
"3114 TT","7,737"
"1225 TT","25,770"
"3118 TT","7,724"
"1227 TT","287,870"
"3122 TT","215,511"
"1229 TT","140,199"
"3128 TT","16,709"
"1231 TT","20,646"
"3131 TT","101,122"
"1232 TT","25,333"
"3141 TT","841,367"
"1233 TT","7,823"
"3144 TT","19,089"
"1234 TT","18,283"
"3152 TT","121,486"
"1235 TT","35,327"
"3162 TT","3,198"
"1236 TT","2,676"
"3163 TT","603,167"
"1262 TT","175,960"
"3169 TT","29,092"
"1301 TT","1,275,320"
"3171 TT","8,937"
"1303 TT","1,281,448"
"3176 TT","101,424"
"1304 TT","387,194"
"3202 TT","283,437"
"1305 TT","669,359"
"3205 TT","88,828"
"1307 TT","91,925"
"3206 TT","24,173"
"1308 TT","135,314"
"3207 TT","4,065"
"1309 TT","88,175"
"3211 TT","89,756"
"1310 TT","1,502,058"
"3213 TT","12,869"
"1312 TT","1,307,538"
"3217 TT","18,708"
"1313 TT","190,243"
"3218 TT","36,367"
"1314 TT","1,178,055"
"3219 TT","2,889"
"1315 TT","50,581"
"3221 TT","610,116"
"1316 TT","92,117"
"3224 TT","67,016"
"1319 TT","1,146,522"
