"證券代號 TT","可借券賣出股數"
"0050 TT","2,852,034"
"006201 TT","9,036"
"0051 TT","6,246"
"1258 TT","77,640"
"0052 TT","1,360"
"1259 TT","2,349"
"0053 TT","2,813"
"1264 TT","17,426"
"0054 TT","1,820"
"1336 TT","8,525"
"0055 TT","67,927"
"1565 TT","62,149"
"0056 TT","297,970"
"1566 TT","200,875"
"0057 TT","1,033"
"1569 TT","23,244"
"0058 TT","693"
"1570 TT","61,905"
"0059 TT","460"
"1580 TT","120,596"
"0061 TT","1,672,114"
"1584 TT","327,063"
"006203 TT","780"
"1586 TT","93,931"
"006204 TT","1,279"
"1593 TT","7,748"
"006205 TT","1,959,171"
"1595 TT","8,076"
"006206 TT","561,628"
"1597 TT","101,733"
"006207 TT","715,558"
"1599 TT","330,577"
"006208 TT","380"
"1742 TT","102,166"
"00631L TT","1,167,605"
"1752 TT","130,833"
"00632R TT","15,279,129"
"1777 TT","58,841"
"00633L TT","20,161,517"
"1781 TT","21,210"
"00634R TT","1,328,809"
"1784 TT","44,358"
"00635U TT","156,655"
"1785 TT","390,617"
"00636 TT","390,067"
"1787 TT","44,497"
"00637L TT","27,961,970"
"1788 TT","8,273"
"00638R TT","378,241"
"1795 TT","179,244"
"00639 TT","1,022,265"
"1799 TT","34,990"
"00640L TT","2,933,980"
"1813 TT","17,534"
"00641R TT","528,287"
"1815 TT","512,007"
"00642U TT","6,367,211"
"2035 TT","1,325"
"00643 TT","400,050"
"2061 TT","15,836"
"00645 TT","225,313"
"2063 TT","4,772"
"00646 TT","100,767"
"2064 TT","13,795"
"00647L TT","99,693"
"2066 TT","46,468"
"00648R TT","519,758"
"2221 TT","34,121"
"00649 TT","224,380"
"2230 TT","57,414"
"00650L TT","210,633"
"2233 TT","236,343"
"00651R TT","120,973"
"2235 TT","12,943"
"00652 TT","798,500"
"2596 TT","4,770"
"00653L TT","729,977"
"2636 TT","102,729"
"00654R TT","793,892"
"2640 TT","9,215"
"00655L TT","1,871,260"
"2641 TT","32,285"
"00656R TT","505,090"
"2719 TT","10,283"
"008201 TT","3,136"
"2724 TT","12,942"
"1101 TT","1,686,843"
"2726 TT","2,335"
"1102 TT","832,564"
"2732 TT","12,497"
"1103 TT","46,892"
"2734 TT","4,409"
"1104 TT","58,242"
"2916 TT","8,805"
"1108 TT","89,176"
"2924 TT","4,591"
"1109 TT","10,863"
"2926 TT","11,772"
"1110 TT","7,856"
"3068 TT","21,900"
"1201 TT","371,349"
"3071 TT","37,251"
"1203 TT","16,801"
"3078 TT","615,754"
"1210 TT","366,597"
"3081 TT","159,649"
"1213 TT","18,698"
"3083 TT","80,915"
"1215 TT","449,581"
"3086 TT","244,206"
"1216 TT","2,030,796"
"3088 TT","76,021"
"1217 TT","286,779"
"3092 TT","112,061"
"1218 TT","384,897"
"3093 TT","2,835"
"1219 TT","13,495"
"3105 TT","1,559,858"
"1220 TT","15,321"
"3114 TT","7,630"
"1225 TT","28,248"
"3118 TT","8,465"
"1227 TT","286,118"
"3122 TT","213,517"
"1229 TT","139,790"
"3128 TT","13,677"
"1231 TT","23,894"
"3131 TT","103,365"
"1232 TT","24,950"
"3141 TT","851,702"
"1233 TT","8,364"
"3144 TT","21,169"
"1234 TT","15,510"
"3152 TT","122,926"
"1235 TT","38,236"
"3162 TT","3,365"
"1236 TT","2,427"
"3163 TT","642,410"
"1262 TT","158,081"
"3169 TT","35,725"
"1301 TT","1,273,122"
"3171 TT","9,376"
"1303 TT","1,274,641"
"3176 TT","111,104"
"1304 TT","398,203"
"3202 TT","284,061"
"1305 TT","675,091"
"3205 TT","82,488"
"1307 TT","98,704"
"3206 TT","26,075"
"1308 TT","146,238"
"3207 TT","4,662"
"1309 TT","108,106"
"3211 TT","87,124"
"1310 TT","1,554,799"
"3213 TT","12,935"
"1312 TT","1,311,338"
"3217 TT","19,880"
"1313 TT","211,245"
"3218 TT","42,507"
"1314 TT","1,233,905"
"3219 TT","2,842"
"1315 TT","51,379"
"3221 TT","632,134"
"1316 TT","86,523"
"3224 TT","67,658"
"1319 TT","1,171,147"
"3226 TT","8,136"
"1321 TT","16,903"
"3227 TT","462,877"
"1323 TT","201,989"
"3230 TT","16,009"
"1324 TT","9,240"
"3232 TT","34,610"
"1325 TT","20,223"
"3234 TT","994,274"
"1326 TT","1,196,817"
"3236 TT","165,010"
"1337 TT","798,940"
"3252 TT","23,831"
"1338 TT","167,497"
"3259 TT","37,308"
"1339 TT","132,110"
"3260 TT","228,203"
"1340 TT","102,004"
"3264 TT","405,564"
"1402 TT","1,445,485"
"3265 TT","127,360"
"1409 TT","169,558"
"3272 TT","77,096"
"1410 TT","5,293"
"3276 TT","23,918"
"1414 TT","58,505"
"3284 TT","93,585"
"1416 TT","93,702"
"3285 TT","38,014"
"1417 TT","181,098"
"3287 TT","17,805"
"1418 TT","7,436"
"3289 TT","430,438"
"1419 TT","6,373"
"3290 TT","72,044"
"1423 TT","18,374"
"3291 TT","42,767"
"1432 TT","167,789"
"3293 TT","749,332"
"1434 TT","206,060"
"3294 TT","51,185"
"1436 TT","2,707"
"3297 TT","8,914"
"1437 TT","39,972"
"3299 TT","341,553"
