"證券代號 TT","可借券賣出股數"
"3438 TT","110,195"
"1476 TT","389,044"
"3441 TT","10,835"
"1477 TT","416,158"
"3444 TT","10,469"
"1503 TT","11,308"
"3452 TT","122,243"
"1504 TT","564,359"
"3455 TT","254,007"
"1506 TT","64,854"
"3466 TT","1,360"
"1507 TT","120,631"
"3479 TT","175,491"
"1512 TT","58,956"
"3483 TT","235,834"
"1513 TT","175,949"
"3484 TT","127,003"
"1514 TT","59,010"
"3489 TT","3,774"
"1515 TT","42,936"
"3490 TT","234,863"
"1516 TT","49,086"
"3491 TT","149,009"
"1517 TT","44,493"
"3492 TT","216,675"
"1519 TT","130,641"
"3498 TT","170,606"
"1521 TT","64,305"
"3499 TT","118,501"
"1522 TT","577,179"
"3508 TT","195,963"
"1524 TT","296,528"
"3511 TT","154,590"
"1525 TT","136,392"
"3512 TT","13,506"
"1526 TT","22,701"
"3516 TT","5,556"
"1527 TT","358,677"
"3520 TT","259,462"
"1528 TT","254,285"
"3521 TT","63,410"
"1530 TT","7,061"
"3522 TT","76,389"
"1531 TT","20,635"
"3523 TT","97,059"
"1532 TT","636,620"
"3526 TT","587,438"
"1533 TT","624,970"
"3527 TT","76,554"
"1535 TT","11,995"
"3528 TT","27,494"
"1536 TT","1,112,481"
"3529 TT","62,143"
"1537 TT","64,897"
"3531 TT","3,238"
"1539 TT","117,425"
"3537 TT","42,490"
"1540 TT","27,010"
"3540 TT","212,469"
"1541 TT","191,301"
"3541 TT","22,435"
"1558 TT","20,041"
"3546 TT","37,138"
"1560 TT","32,843"
"3548 TT","228,424"
"1568 TT","528,921"
"3551 TT","12,309"
"1582 TT","99,576"
"3552 TT","319,975"
"1583 TT","5,305"
"3553 TT","26,397"
"1589 TT","145,892"
"3556 TT","98,381"
"1590 TT","188,020"
"3558 TT","100,662"
"1592 TT","229,809"
"3563 TT","8,420"
"1603 TT","45,985"
"3564 TT","17,360"
"1604 TT","214,316"
"3567 TT","67,575"
"1605 TT","1,130,202"
"3577 TT","10,649"
"1608 TT","27,452"
"3580 TT","41,340"
"1609 TT","61,697"
"3581 TT","111,983"
"1611 TT","224,475"
"3587 TT","82,873"
"1612 TT","21,424"
"3594 TT","84,805"
"1614 TT","23,721"
"3609 TT","8,967"
"1615 TT","4,120"
"3611 TT","28,491"
"1617 TT","4,568"
"3615 TT","89,800"
"1618 TT","117,362"
"3623 TT","32,069"
"1626 TT","7,203"
"3624 TT","147,418"
"1701 TT","62,125"
"3625 TT","23,469"
"1702 TT","137,291"
"3628 TT","12,375"
"1704 TT","1,347,122"
"3630 TT","38,188"
"1707 TT","244,240"
"3631 TT","6,059"
"1708 TT","90,525"
"3632 TT","182,109"
"1709 TT","218,472"
"3642 TT","119,337"
"1710 TT","239,367"
"3646 TT","6,671"
"1711 TT","211,104"
"3652 TT","2,763"
"1712 TT","122,776"
"3658 TT","123,175"
"1713 TT","7,467"
"3662 TT","1,248,839"
"1714 TT","260,473"
"3663 TT","10,449"
"1715 TT","156,475"
"3664 TT","159,322"
"1717 TT","100,851"
"3666 TT","114,704"
"1718 TT","556,788"
"3675 TT","7,095"
"1720 TT","75,500"
"3680 TT","68,223"
"1721 TT","111,907"
"3685 TT","72,918"
"1722 TT","444,050"
"3687 TT","38,728"
"1723 TT","69,548"
"3689 TT","40,250"
"1724 TT","40,409"
"3691 TT","137,505"
"1725 TT","2,936"
"3693 TT","35,613"
"1726 TT","13,153"
"3707 TT","654,309"
"1727 TT","35,075"
"4102 TT","22,732"
"1729 TT","77,035"
"4103 TT","7,952"
"1730 TT","37,770"
"4105 TT","484,050"
"1731 TT","131,149"
"4107 TT","137,625"
"1732 TT","29,701"
"4109 TT","41,941"
"1733 TT","42,108"
"4111 TT","22,110"
"1734 TT","87,421"
"4113 TT","105,603"
"1735 TT","101,392"
"4114 TT","101,970"
"1736 TT","47,848"
"4116 TT","49,223"
"1737 TT","101,835"
"4120 TT","61,915"
"1762 TT","51,101"
"4121 TT","61,642"
"1773 TT","14,325"
"4123 TT","249,173"
"1783 TT","63,019"
"4126 TT","145,784"
"1786 TT","48,554"
"4127 TT","27,308"
"1789 TT","285,317"
"4129 TT","231,284"
"1802 TT","593,681"
"4130 TT","260,680"
"1805 TT","26,747"
"4138 TT","22,246"
"1806 TT","34,791"
"4153 TT","74,067"
"1808 TT","272,322"
"4157 TT","290,117"
"1809 TT","31,859"
"4161 TT","112,818"
"1810 TT","82,742"
"4162 TT","217,349"
"1817 TT","34,096"
"4163 TT","210,131"
"1902 TT","48,060"
"4173 TT","88,353"
"1903 TT","11,673"
"4174 TT","271,894"
"1904 TT","91,511"
"4205 TT","4,652"
"1905 TT","221,914"
"4207 TT","16,252"
"1906 TT","85,385"
"4303 TT","2,037"
"1907 TT","147,946"
"4305 TT","4,813"
"1909 TT","534,592"
"4401 TT","34,581"
"2002 TT","5,942,112"
"4406 TT","27,802"
"2006 TT","285,366"
"4416 TT","1,826"
"2007 TT","37,970"
"4417 TT","61,269"
"2008 TT","11,171"
"4420 TT","149,273"
"2010 TT","140,238"
"4429 TT","5,396"
"2012 TT","11,927"
"4430 TT","9,939"
"2013 TT","123,562"
"4432 TT","51,869"
"2015 TT","173,786"
"4433 TT","8,253"
"2017 TT","108,881"
"4502 TT","45,264"
"2020 TT","23,083"
"4506 TT","36,569"
"2023 TT","502,374"
"4510 TT","205,296"
"2024 TT","19,253"
"4513 TT","124,135"
"2027 TT","170,694"
"4523 TT","418,628"
"2029 TT","56,987"
"4527 TT","5,366"
